Case Number,Problem Category,Geolocation (Latitude),Geolocation (Longitude),Opened Date,Subject,Status,Public Description,SAP URL,Closed Date,Age (Days),block_group,tract,geoid
102198,Litter/Dumping,32.74098861,-117.1577087,8/29/16,"Litter/Dumping Open Space/Canyon/Park at 699 Upas St, San Diego, CA 92103, USA",Closed - Referred,HUGE amount of debris / litter / dumping along the Marston chain-link fence on the Balboa Park side on the east end close to the trail leading to the canyon.  Fence is also cut.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034KWYAA2,,1,2,005600,060730056002
102199,Litter/Dumping,32.74070434,-117.1568128,8/29/16,"Litter/Dumping Open Space/Canyon/Park at Bridle Trail, San Diego, CA 92103, USA",Closed - Referred,"Area is not on the map.   Where the pin is, go north along the road as far north as you can go (appears to be the Bridal trail) (most north side of the Balboa Park/Marston Property there are some fallen trees and a HUGE mess and 2 encampments.  North chain-link fence is cut.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034KaaAAE,,1,2,005600,060730056002
102242,Litter/Dumping,32.751063,-117.153283,8/29/16,"Litter/Dumping Open Space/Canyon/Park at Vermont Street Bridge San Diego, CA 92103",Closed - Referred,"Illegal campsites,litter trash drug dealing",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034MgaAAE,,1,2,000600,060730006002
102282,Litter/Dumping,32.80769832,-117.2195273,8/29/16,Litter/Dumping Open Space/Canyon/Park at 4780 Mission Bay Dr,Closed - Referred,Beginning or end of rose creek path there is a ton of trash down here. Not to mention the homeless people doing drugs on the path under the bridge. This is a beautiful path that should be cleaned up.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034NMRAA2,,1,2,007800,060730078002
102382,Litter/Dumping,32.76927524,-117.1298995,8/30/16,"Litter/Dumping Open Space/Canyon/Park at Mission Valley Fwy & I-8 & Kumeyaay Hwy, San Diego, CA 92116, USA",Closed - Referred,"When taking the on ramp to the 8w from the 805n, before crossing over Camino del rio s and the 8, the left side vegetation is thoroughly trashed.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034Q1HAAU,,0,1,001900,060730019001
102403,Litter/Dumping,32.841063,-117.094551,8/30/16,Litter/Dumping Open Space/Canyon/Park at N32.84 E117.09,Closed - Referred,Remove tree debris from fwy slope,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034QsVAAU,,0,2,009505,060730095052
102457,Litter/Dumping,32.7621267,-117.097225,8/30/16,Litter/Dumping Open Space/Canyon/Park at Aldine Drive San Diego,Closed - Referred,Tent set up; vagrant camping?,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034TAlAAM,,0,2,002002,060730020022
102462,Litter/Dumping,32.751001,-117.153543,8/30/16,"Litter/Dumping Open Space/Canyon/Park at Vermont Street Bridge San Diego, CA 92103",Closed - Referred,"Large amount of trash,  etc",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034TPvAAM,,0,2,000600,060730006002
102464,Litter/Dumping,32.750986,-117.153575,8/30/16,"Litter/Dumping Open Space/Canyon/Park at Vermont Street Bridge San Diego, CA 92103",Closed - Referred,Trash active camp illegal activity,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034TQUAA2,,0,2,000600,060730006002
102465,Litter/Dumping,32.751017,-117.153565,8/30/16,"Litter/Dumping Open Space/Canyon/Park at Vermont Street Bridge San Diego, CA 92103",Closed - Referred,Active camp tents. Behind Ralphs on state highway property,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034TRhAAM,,0,2,000600,060730006002
93494,Litter/Dumping,32.723138,-117.128237,7/14/16,"Litter/Dumping Open Space/Canyon/Park at 1641 Grove Street San Diego, CA 92102",Closed - Referred,"Bales of hay & pallets, old cars, hoarding issue. Fire hazard the picture doesn't do it justice. A junk yard within a neighborhood.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003BUQeAAO,,47,1,004400,060730044001
