Case Number,Problem Category,Geolocation (Latitude),Geolocation (Longitude),Opened Date,Subject,Status,Public Description,SAP URL,Closed Date,Age (Days),tract,geoid,block_group
96798,Graffiti,32.7554713,-117.1117541,7/31/16,"Graffiti  at 3780 El Cajon Boulevard, San Diego, CA, United States",Closed,Grafitti'ed on SDGE power pole on 38th street next to alley entrance,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugoEAAQ,8/9/16,8,002100,060730021004,4
96819,Graffiti,32.754723,-117.116943,7/31/16,"Graffiti  at 4262-4298 Wilson Avenue San Diego, CA 92104",Duplicate,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugvoAAA,,30,001600,060730016001,1
96821,Graffiti,32.754723,-117.117226,7/31/16,"Graffiti  at 4262 Wilson Avenue San Diego, CA 92104",Closed,Curb in parking lot,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugvyAAA,8/4/16,3,001600,060730016001,1
96824,Graffiti,32.754723,-117.117226,7/31/16,"Graffiti  at 4262 Wilson Avenue San Diego, CA 92104",Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugwXAAQ,8/3/16,2,001600,060730016001,1
96825,Graffiti,32.755001,-117.116669,7/31/16,"Graffiti  at 3551 El Cajon Boulevard San Diego, CA 92104",Closed,"00093481 closed prematurely, tag still on stop sign",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugwwAAA,8/3/16,2,001600,060730016001,1
96826,Graffiti,32.755096,-117.117011,7/31/16,"Graffiti  at 3531A El Cajon Boulevard San Diego, CA 92104",Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugx1AAA,8/9/16,8,001600,060730016001,1
96828,Graffiti,32.755001,-117.116943,7/31/16,"Graffiti  at 4262-4298 Wilson Avenue San Diego, CA 92104",Duplicate,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugxBAAQ,,30,001600,060730016001,1
96829,Graffiti,32.755001,-117.117226,7/31/16,"Graffiti  at 3531 El Cajon Boulevard San Diego, CA 92104",Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugxGAAQ,,30,001600,060730016001,1
96830,Graffiti,32.755001,-117.117226,7/31/16,"Graffiti  at 3531 El Cajon Boulevard San Diego, CA 92104",Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugxLAAQ,8/19/16,18,001600,060730016001,1
96831,Graffiti,32.755001,-117.117226,7/31/16,"Graffiti  at 3531 El Cajon Boulevard San Diego, CA 92104",Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugxQAAQ,8/9/16,8,001600,060730016001,1
96833,Graffiti,32.7554713,-117.1117541,7/31/16,"Graffiti  at 3780 El Cajon Boulevard, San Diego, CA, United States",Closed,On sidewalk in front of A+ Dentistry,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugxzAAA,8/9/16,8,002100,060730021004,4
96836,Graffiti,32.7554768,-117.1123763,7/31/16,"Graffiti  at 3762 El Cajon Boulevard, San Diego, CA, United States",Closed,Vacant commercial property graffiti'ed again,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugyEAAQ,8/12/16,11,002100,060730021004,4
96842,Graffiti,32.78400205,-117.1037025,7/31/16,Graffiti  at 10820?10952 San Diego Mission Rd,Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugz2AAA,8/6/16,5,009603,060730096032,2
96843,Graffiti,32.7554613,-117.1102431,7/31/16,"Graffiti  at 3902 El Cajon Boulevard, San Diego, CA, United States",Assigned,Graffiti right in front of several business cameras,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugz7AAA,,30,002100,060730021004,4
96848,Graffiti,32.76528174,-117.1702861,7/31/16,Graffiti  at W Fashion Vly,Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uh0eAAA,8/6/16,5,008902,060730089022,2
96850,Graffiti,32.7555,-117.111206,7/31/16,"Graffiti  at 3808 El Cajon Boulevard, San Diego, CA, United States",Closed,MTS bench in front of empty field,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uh0oAAA,8/6/16,5,002100,060730021004,4
96853,Graffiti,32.76299686,-117.198056,7/31/16,Graffiti  at 4954?5098 Friars Rd,Closed,Under bridge again,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uh13AAA,8/6/16,5,009106,060730091061,1
96854,Graffiti,32.76261416,-117.2019967,7/31/16,Graffiti  at 4850?4952 Friars Rd,Closed,Train bridge is covered,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uh18AAA,8/10/16,9,009106,060730091061,1
96856,Graffiti,32.7554387,-117.1100674,7/31/16,"Graffiti  at 3912 El Cajon Boulevard, San Diego, CA, United States",Duplicate,Front window in front of building surveillance camera,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uh1hAAA,,30,002100,060730021004,4
96859,Graffiti,32.7554768,-117.1123763,7/31/16,"Graffiti  at 3762 El Cajon Boulevard, San Diego, CA, United States",Closed,On right side of McClintock just off El Cajon Blvd,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uh2BAAQ,8/9/16,8,002100,060730021004,4
96864,Graffiti,32.78431871,-117.1084735,7/31/16,Graffiti  at 10701?10799 San Diego Mission Rd,Closed - Referred,Att boxes covered,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uh3xAAA,,30,009603,060730096034,4
96874,Graffiti,32.75536466,-117.1119502,7/31/16,"Graffiti  at 3766 El Cajon Boulevard, San Diego, CA, United States",Closed,Sdge pole behind location is graffiti'ed,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uh6SAAQ,8/12/16,11,002100,060730021004,4
96876,Graffiti,32.7555997,-117.1126019,7/31/16,"Graffiti  at 3738 El Cajon Boulevard, San Diego, CA, United States",Closed - Referred,Graffiti on sdge pole in alley,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uh6mAAA,,30,002100,060730021005,5
96878,Graffiti,32.7554713,-117.1117541,7/31/16,"Graffiti  at 3780 El Cajon Boulevard, San Diego, CA, United States",Closed,At 38th and ecb stop sign,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uh7VAAQ,8/3/16,2,002100,060730021004,4
96887,Graffiti,32.7554713,-117.1117541,7/31/16,"Graffiti  at 3780 El Cajon Blvd, San Diego, CA, United States",Closed,"East facing facade of building has graffiti on wall, window and pipes. Sidewalk too. There is a palm tree on 38th st near the stop sign that is graffiti'ed too. Also graffiti on towing sign at entrance to parking lot in alley",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhAeAAI,8/4/16,3,002100,060730021004,4
96901,Graffiti,32.7554737,-117.1101119,7/31/16,"Graffiti  at 3910 El Cajon Boulevard, San Diego, CA, United States",Duplicate,Graffiti on awning,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhFFAAY,,30,002100,060730021004,4
96917,Graffiti,32.71476521,-117.1262953,7/31/16,"Graffiti Removal at 1002 30TH ST, 92102",Closed,Description: Graffiti is getting worse.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhIOAAY,8/4/16,3,004100,060730041003,3
96933,Graffiti,32.70085394,-117.1504123,8/1/16,Graffiti  at 1201?1205 Sigsbee St,Closed,On street,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ui1YAAQ,8/9/16,8,005100,060730051002,2
96934,Graffiti,32.70083588,-117.1503971,8/1/16,Graffiti  at 1201?1205 Sigsbee St,Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ui1iAAA,8/9/16,8,005100,060730051002,2
96935,Graffiti,32.70097691,-117.1504417,8/1/16,Graffiti  at 1200?1204 Sigsbee St,Closed,On side of building,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ui2CAAQ,8/9/16,8,005100,060730051002,2
96936,Graffiti,32.69934143,-117.1471539,8/1/16,Graffiti  at 1871 Main St,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ui3tAAA,,29,005000,060730050001,1
96938,Graffiti,32.69934671,-117.1471652,8/1/16,Graffiti  at 1871 Main St,Closed,Also Cesar Chavez Parkway sign underneath is damaged,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ui4IAAQ,8/12/16,11,005000,060730050001,1
96939,Graffiti,32.69928791,-117.1470192,8/1/16,Graffiti  at 1871 Main St,Duplicate,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ui4hAAA,,29,005000,060730050001,1
96940,Graffiti,32.7028257,-117.1460003,8/1/16,Graffiti  at 1712?1798 Logan Ave,Closed,graffiti on r1 SIGSBEE ST/LOGAN AV,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ui7HAAQ,8/12/16,11,005100,060730051002,2
96942,Graffiti,32.70047353,-117.1423309,8/1/16,Graffiti  at 1900?2038 Logan Ave,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ui9DAAQ,,29,005000,060730050001,1
96944,Graffiti,32.70064984,-117.1428924,8/1/16,Graffiti  at San Diego-Coronado Bridge,Duplicate,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ui9TAAQ,,29,005000,060730050001,1
96943,Graffiti,32.70025091,-117.1426093,8/1/16,Graffiti  at 1901?2019 Logan Ave,Duplicate,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ui9mAAA,,29,005000,060730050001,1
96945,Graffiti,32.70057076,-117.1431778,8/1/16,Graffiti  at 1951 Logan Ave,Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uiBiAAI,8/12/16,11,005000,060730050001,1
96960,Graffiti,32.57642387,-117.0959838,8/1/16,"Graffiti  at 1731-1775 Coronado Ave, San Diego, CA 92154, USA",Closed,There is graffiti painted on the raised-up sidewalk next to a telephone pole on the south side of the street.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uisIAAQ,8/9/16,8,010104,060730101042,2
96974,Graffiti,32.7134452,-117.1666967,8/1/16,Graffiti  at 750 State St,Assigned,On nailbox,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ujXaAAI,,29,005400,060730054002,2
96992,Graffiti,32.938573,-117.072751,8/1/16,"Graffiti  at 11971 Mountain Pass Road, San Diego, CA, United States",Closed,Large Blue Writing on the cream retaining wall east side of the park on Mountain Pass and Springhurst,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uk9jAAA,8/12/16,11,017042,060730170421,1
97000,Graffiti,32.7259768,-117.1685959,8/1/16,"Graffiti  at 2040 Columbia Street, San Diego, CA, United States",Assigned,18x18 section near the curb and the tree outside of the Il Palazzo Leasing office.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ukPcAAI,,29,005800,060730058001,1
97001,Graffiti,32.72507274,-117.1303069,8/1/16,Graffiti  at 1830 30th St,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ukRUAAY,,29,004400,060730044003,3
97045,Graffiti,32.71714631,-117.1731014,8/1/16,Graffiti  at N Harbor Dr,Assigned,Train crossing at Kettner,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001um00AAA,,29,005400,060730054002,2
97050,Graffiti,32.775505,-117.1980133,8/1/16,Graffiti  at 32.77N 117.20W,Acknowledged,Graffiti on park bench that is next to baseball field #1.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001umIeAAI,,29,009106,060730091062,2
97054,Graffiti,32.74688127,-117.1907213,8/1/16,"Graffiti  at 2165 San Diego Ave, San Diego, CA 92110, USA",Duplicate,Graffiti on the retaining wall at the top of the hill adjacent to Exit 19 from Northbound 5. It was recently painted but has been retagged. Thank you.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001umd2AAA,,29,006500,060730065002,2
97105,Graffiti,32.576376,-117.079716,8/1/16,"Graffiti  at 1161 25th Street San Diego, CA 92154",Closed,Graffiti on Stop Sign,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uncZAAQ,8/9/16,7,010106,060730101062,2
97107,Graffiti,32.579001,-117.101304,8/1/16,"Graffiti  at 1001 15th Street San Diego, CA 92154",Assigned,Graffiti on white pillars of residential wall in front yard of the house.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001undSAAQ,,29,010103,060730101033,3
97119,Graffiti,32.93875648,-117.0742008,8/1/16,"Graffiti Removal at MOUNTAIN PASS RD & SPRINGHURST DR,, 92128",Closed,graffiti on sidewalk by park,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unirAAA,8/27/16,25,017042,060730170421,1
97131,Graffiti,32.70354099,-117.1354355,8/2/16,"Graffiti Removal at 2142 FRANKLIN AV, 92113",Closed,Description: Wood Garage door,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unqvAAA,8/30/16,28,004900,060730049001,1
97132,Graffiti,32.70489844,-117.1354783,8/2/16,"Graffiti Removal at 2127 EVERETT AV, 92113",Closed,Description: Wall and garage door,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unr5AAA,8/30/16,28,004900,060730049003,3
97133,Graffiti,32.70354099,-117.1354355,8/2/16,"Graffiti Removal at 2096 FRANKLIN AV, 92113",Closed,Description: Wall,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unrAAAQ,8/30/16,28,004900,060730049001,1
97134,Graffiti,32.7032561,-117.1326174,8/2/16,"Graffiti Removal at 2833 CLAY AV, 92113",Assigned,scription: Graffiti,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unrFAAQ,,28,003901,060730039012,2
97135,Graffiti,32.7032561,-117.1326174,8/2/16,"Graffiti Removal at 2831 CLAY AV, 92113",Duplicate,Description: Garage,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unrPAAQ,,28,003901,060730039012,2
97136,Graffiti,32.70293712,-117.1345582,8/2/16,"Graffiti Removal at 2220 FRANKLIN AV, 92113",Assigned,Description: Fence,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unrUAAQ,,28,004900,060730049001,1
97137,Graffiti,32.70117145,-117.1339488,8/2/16,"Graffiti Removal at 2230 OCEAN VIEW BL, 92113",Assigned,Description: Fence,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unrZAAQ,,28,004900,060730049001,1
97138,Graffiti,32.70252477,-117.1349506,8/2/16,"Graffiti Removal at 323 SAMPSON ST, 92113",Assigned,Description: Fence,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unreAAA,,28,004900,060730049001,1
97139,Graffiti,32.70179329,-117.1168173,8/2/16,"Graffiti Removal at 428 S 36TH ST, 92113",Closed,Description: Wall,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unrtAAA,8/30/16,28,003501,060730035012,2
97140,Graffiti,32.6979026,-117.1352195,8/2/16,"Graffiti Removal at 2362 JULIAN AV, 92113",Closed,Description: Fence,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uns3AAA,8/30/16,28,004900,060730049002,2
97141,Graffiti,32.6979026,-117.1352195,8/2/16,"Graffiti Removal at 2326 JULIAN AV, 92113",Closed,Description: Wall,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unsIAAQ,8/30/16,28,004900,060730049002,2
97142,Graffiti,32.6979026,-117.1352195,8/2/16,"Graffiti Removal at 2318 JULIAN AV, 92113",Closed,Description: Fence,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unsNAAQ,8/30/16,28,004900,060730049002,2
97144,Graffiti,32.71056657,-117.133848,8/2/16,"Graffiti Removal at 428 28TH ST, 92102",Acknowledged,Description: Wall,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unshAAA,,28,004800,060730048001,1
97145,Graffiti,32.70743091,-117.134561,8/2/16,"Graffiti Removal at 2768 L ST, 92102",Assigned,Description: Fence blast job,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001untaAAA,,28,004800,060730048003,3
97146,Graffiti,32.70443033,-117.1146847,8/2/16,"Graffiti Removal at 3746 CLINTON ST, 92113",Assigned,Description: Fence,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unudAAA,,28,003501,060730035011,1
97147,Graffiti,32.70744105,-117.1316093,8/2/16,"Graffiti Removal at 2981 L ST, 92102",Acknowledged,Description: Wall,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unvqAAA,,28,004000,060730040004,4
97148,Graffiti,32.70483433,-117.1146887,8/2/16,"Graffiti Removal at 3715 IMPERIAL AV, 92113",Assigned,Description: Garage door,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unwtAAA,,28,003501,060730035011,1
97150,Graffiti,32.70293712,-117.1345582,8/2/16,"Graffiti Removal at 238 SAMPSON ST, 92113",Closed,Description: Wall and fence,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unxNAAQ,8/30/16,28,004900,060730049001,1
97152,Graffiti,32.70086679,-117.1365691,8/2/16,"Graffiti Removal at 528 SAMPSON ST, 92113",Duplicate,Description: Graffiti,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uny1AAA,,28,004900,060730049002,2
97154,Graffiti,32.69659585,-117.1081751,8/2/16,"Graffiti Removal at 4004 LOGAN AV, 92113",Closed,Description: Wall and garage door,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unyzAAA,8/30/16,28,003502,060730035022,2
97165,Graffiti,32.73636237,-117.1027562,8/2/16,Graffiti  at 4279 Poplar St,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uoT9AAI,,28,002502,060730025022,2
97166,Graffiti,32.73673285,-117.1020847,8/2/16,Graffiti  at 2930 Columbine St,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uoTiAAI,,28,002502,060730025022,2
97167,Graffiti,32.81722017,-117.1755078,8/2/16,"Graffiti  at 4002 Mt Abraham Ave, San Diego, CA 92111, USA",Closed,"On South fence of house on corner of Mt Abraham Ave. and Mt Aguilar Dr.Two competing taggers, covering each others tags....been up a week.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uoXzAAI,8/30/16,28,008509,060730085095,5
