Case Number,Problem Category,Geolocation (Latitude),Geolocation (Longitude),Opened Date,Subject,Status,Public Description,SAP URL,Closed Date,Age (Days),count,block_group,tract,geoid
96599,Street Light,32.80299993,-117.0126763,7/29/16,"Street Light Light Out at 8515 Navajo Rd, San Diego, CA 92119, USA",Assigned,This light is behind the Einstein Bagel shop on Navajo Road east bound direction.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufrqAAA,,32,1,5,009802,060730098025
96601,Street Light,32.8936116,-117.2016004,7/29/16,"Street Light Light Out at 5405 Morehouse Dr, San Diego, CA 92121, USA",Assigned,Three of the four street lights at this intersection are out.  The intersection is Scranton at Morehouse Dr.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufs5AAA,,32,1,1,008346,060730083461
96623,Street Light,32.79550719,-117.2558539,7/29/16,"Light Out at 4461 OCEAN BL, 92109",Closed,PER CONSUMER THE STREET LIGHTS ALONG THE BOARDWALK FROM 4461-4465 ARE OUT.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufxjAAA,8/25/16,26,1,1,007910,060730079101
96630,Street Light,32.92927,-117.129337,7/29/16,"Street Light Light Out at 11361 Pegasus Avenue, San Diego, CA, United States",Assigned,Light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufzkAAA,,32,1,2,008353,060730083532
96633,Street Light,33.008824,-117.086835,7/29/16,"Street Light Light Out at 16191 Rimstone Lane, San Diego, CA, United States",Closed,"I reported this street light out a couple months ago and it was fixed for a while, but does not come on every night. It appears to intermittently come on. It is not on again tonight, 7/29, at 11:30 pm.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ug09AAA,8/26/16,27,1,2,017032,060730170322
96648,Street Light,32.8453784,-117.2727899,7/30/16,"Street Light Light Out at 7800 Herschel Ave, La Jolla, CA, United States",Assigned,The entire block of street lights along Herschel Avenue from Wall Street to Silverado Street have been out for weeks.  This is a major tourist area.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ug8cAAA,,31,1,3,008200,060730082003
96656,Street Light,32.75139892,-117.1058441,7/30/16,Street Light Light On During Day at 4092 Marlborough Ave,Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ug9zAAA,8/25/16,26,1,3,002202,060730022023
96677,Street Light,32.80066423,-117.1651438,7/30/16,"Street Light Light Out at Kearny Mesa Recreation Center, Armstrong Street, San Diego, CA, United States",Assigned,"One light is out on Armstrong st, another one is out in the parking lot next to Armstrong st, a light that faces the baby swings and monkey bars is out and a group of lights near the dog park wont turn on and it's very dark over there at night.  Please fix those lights.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugFYAAY,,31,1,1,008701,060730087011
96678,Street Light,32.8090193,-117.1513673,7/30/16,"Street Light Light On During Day at 3416-3666 Kearny Villa Rd, San Diego, CA 92123, USA",Assigned,Streetlight is on during the day.  Please fix it so the light can last longer.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugFdAAI,,31,1,1,009201,060730092011
96716,Street Light,32.71368695,-117.148568,7/30/16,"Light Out at 17TH ST & F ST,, 92101",Closed,st light out missing light,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugPxAAI,8/25/16,25,1,1,005200,060730052001
96729,Street Light,33.0272165,-117.0857323,7/30/16,Street Light Light Out at 11360 Poblado Rd,Assigned,Street light is out at Pablado and Capilla.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugUTAAY,,31,1,3,017031,060730170313
96730,Street Light,32.755688,-117.130115,7/30/16,"Street Light Light Out at 4313 30th Street San Diego, CA 92104",Assigned,All four of the street lights are out at this intersection,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugUYAAY,,31,1,2,001200,060730012002
96733,Street Light,32.7317667,-117.2559372,7/30/16,"Street Light Light Out at 1171 Sunset Cliffs Boulevard, San Diego, CA, United States",Assigned,All street lights on Sunset Cliffs Blvd. from Point Loma Ave to Froude.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugVRAAY,,31,1,2,007200,060730072002
96734,Street Light,32.7195746,-117.1608274,7/30/16,"Street Light Light Out at 1365 Fourth Avenue, San Diego, CA, United States",Closed,"On the corner of Fourth Ave, and Ash there are 3 corner lights out.  Only one of the four corner lights is on when it is dark.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugVbAAI,8/25/16,25,1,1,005300,060730053001
96736,Street Light,32.72782121,-117.2461492,7/30/16,Street Light Light Out at 1145 Moana Dr,Duplicate,Same problem as before. Lights from Catalina Blvd to Santa Barbara to Point Loma Avenue are all out. Seriously...why are these so hard to keep on?,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugXNAAY,,31,1,1,007200,060730072001
96737,Street Light,32.73024096,-117.1602121,7/30/16,Street Light Light Out at 2389 5th Ave,Closed,Burnt out street light.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugXmAAI,8/25/16,25,1,1,005900,060730059001
96753,Street Light,32.731386,-117.174431,7/31/16,"Street Light Light On During Day at 2601-2845 Pacific Highway San Diego, CA 92101",Assigned,Streetlights burning during day,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uggtAAA,,30,1,2,006100,060730061002
96784,Street Light,32.77355129,-117.2530183,7/31/16,"Street Light Light Out at 3267 Ocean Front Walk, San Diego, CA 92109, USA",Assigned,Street light out on Ocean Front Walk and Jamaica Ct in Mission Beach (boardwalk).,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uglUAAQ,,30,1,3,007600,060730076003
96785,Street Light,32.7955778,-117.2564676,7/31/16,"Street Light Light Out at 700 Hornblend St, San Diego, CA 92109, USA",Closed,"All street lights are out on Ocean Front Walk/Ocean Blvd between Garnet Ave and Thomas Ave (Pacific Beach, along beach).",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uglZAAQ,8/25/16,25,1,1,007910,060730079101
96804,Street Light,32.755362,-117.144164,7/31/16,"Street Light Light On During Day at 1940-1998 El Cajon Boulevard San Diego, CA 92104",Assigned,Light on during day.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugpHAAQ,,30,1,4,001000,060730010004
96847,Street Light,32.70732169,-117.132119,7/31/16,Street Light Light Out at 144 29th St,Closed,"Street light out 29th & L St. Gets pitch black at night attracting trash dumping, and graffiti.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uh0UAAQ,8/25/16,24,1,4,004000,060730040004
96881,Street Light,32.75535693,-117.1993569,7/31/16,"Street Light Light Out at Old Town Transit Center Bus Access Road, San Diego, CA 92110, USA",Assigned,I noticed you put the yellow caution tapes on the streetlights that are out on Congress st.  There is another one hidden in the trees near the intersection of Taylor street and Congress street.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uh9HAAQ,,30,1,2,006500,060730065002
96888,Street Light,32.990921,-117.161499,7/31/16,"Street Light Light Out at 14668 Via Monteverde, San Diego, CA, United States",Assigned,"Two street lights out, next to each other",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhBNAAY,,30,1,1,017029,060730170291
96894,Street Light,32.7382994,-117.2233054,7/31/16,"Street Light Light Out at 2301 Plum Street, San Diego, CA, United States",Duplicate,We have had out lights out for weeks please fir the security of our families please fix them. I have put in many requests.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhCfAAI,,30,1,3,006900,060730069003
96895,Street Light,32.82393016,-117.1003572,7/31/16,Street Light Light Out at 10702 Escobar Dr,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhERAAY,,30,1,2,009506,060730095062
96897,Street Light,32.7497206,-117.2246108,7/31/16,"Street Light Light Out at 2791 Worden Street, San Diego, CA, United States",Assigned,All the street lights on Worden street and the surrounding neighborhood have been out all weekend - very dark,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhEvAAI,,30,1,1,006900,060730069001
96898,Street Light,32.755293,-117.1109889,7/31/16,"Street Light Light Out at 3814 El Cajon Blvd, San Diego, CA 92105, USA",Assigned,Street fixture with two lights; light on north side of fixture is out. Dark area could use extra light,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhF0AAI,,30,1,4,002100,060730021004
96899,Street Light,32.7554188,-117.1120253,7/31/16,"Street Light Light Out at 3766 El Cajon Boulevard, San Diego, CA, United States",Assigned,Street fixture with two lights; light on north side of fixture is out. Dark area could use extra light,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhF5AAI,,30,1,4,002100,060730021004
96900,Street Light,32.75533116,-117.109762,7/31/16,"Street Light Light Out at 3930 El Cajon Blvd, San Diego, CA 92105, USA",Assigned,Street fixture with two lights; light on north side of fixture is out. Dark area could use extra light,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhFAAAY,,30,1,4,002100,060730021004
96908,Street Light,32.7361138,-117.2226773,7/31/16,"Street Light Light Out at 3211 Edith Lane, San Diego, CA, United States",Duplicate,"Many/most street lights in Loma Portal are not working. We, my neighbors and I, thought it might be the construction going on on Rosecrans St, but it has been over two weeks, and the lights are still out.  It is very dangerous at night to be outside at all, it is so dark!",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhH1AAI,,30,1,1,021400,060730214001
96909,Street Light,32.71341125,-117.1589921,7/31/16,Street Light Light Out at 789 6th Ave,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhHBAAY,,30,1,2,005300,060730053002
96910,Street Light,32.71321817,-117.1591416,7/31/16,Street Light Light Out at 735 6th Ave,Assigned,Whole block out on east side,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhHGAAY,,30,1,2,005300,060730053002
96911,Street Light,32.7129559,-117.1591934,7/31/16,Street Light Light Out at 725 6th Ave,Acknowledged,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhHLAAY,,30,1,2,005300,060730053002
96912,Street Light,32.71224185,-117.1589965,7/31/16,Street Light Light Out at 655 G St,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhHQAAY,,30,1,2,005300,060730053002
96913,Street Light,32.70995032,-117.1590248,7/31/16,Street Light Light Out at 439 6th Ave,Acknowledged,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhHVAAY,,30,1,4,005400,060730054004
96914,Street Light,32.7095469,-117.1594306,7/31/16,Street Light Light Out at 400 6th Ave,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhHaAAI,,30,1,4,005400,060730054004
96915,Street Light,32.70925236,-117.158837,7/31/16,Street Light Light Out at 615 J St,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhHfAAI,,30,1,4,005400,060730054004
96922,Street Light,32.71150793,-117.1667107,8/1/16,Street Light Light Out at 386?448 W Market St,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhKAAAY,,30,1,3,005400,060730054003
96924,Street Light,32.71157851,-117.1668893,8/1/16,Street Light Light Out at 448 W Market St,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhKKAAY,,30,1,3,005400,060730054003
96925,Street Light,32.71158006,-117.1671817,8/1/16,Street Light Light Out at 448 W Market St,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uhKPAAY,,30,1,3,005400,060730054003
96950,Street Light,32.783254,-117.050036,8/1/16,"Street Light Light Out at 5895 Ciudad Leon Court, San Diego, CA, United States",Assigned,The street light in front of 5895 Ciudad Leon Ct. at the CDS is out. The pole is metal.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uiSjAAI,,29,1,1,009706,060730097061
96955,Street Light,32.956159,-117.2293453,8/1/16,"Street Light Light Out at 13077 Hartfield Avenue, San Diego, CA, United States",Assigned,Fire Station 24 needs a re-lamp of parking lot lights.  Light standards are marked with pink banner tape.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uimFAAQ,,29,1,2,008327,060730083272
96961,Street Light,32.7303939,-117.247016,8/1/16,"Street Light Light Out at 1304 Alexandria Drive, San Diego, CA, United States",Assigned,Light in center of block on east side is out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uizEAAQ,,29,1,2,007200,060730072002
96969,Street Light,32.7157884,-117.128374,8/1/16,"Street Light Light Out at 3053 Broadway, San Diego, CA, United States",Assigned,There is a burnt out street lamp located in front of Sofia Lofts. 3045-3055 Broadway 92102 - This street light has now been burnt out for almost two months! I reported it burnt out on this website over a month ago and it still hasn't been fixed. It's very dark on this part of the street already. Please fix! Thank you,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ujIaAAI,,29,1,3,004100,060730041003
96975,Street Light,32.8035661,-117.1355671,8/1/16,"Street Light Light Out at 8944 Laddie Lane, San Diego, CA, United States",Assigned,"The street light across from 8944 Laddie lane is non functioning, cause a security concern.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ujZMAAY,,29,1,1,009301,060730093011
96989,Street Light,32.735617,-117.221669,8/1/16,"Street Light  at 3107 Edith Lane, San Diego, CA, United States",Assigned,"All street lights have been out for more than 2 weeks in this entire neighborhood.  Edith Lane, Locust Street, Whittier Street, Xenophon Street, etc.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ujzUAAQ,,29,1,1,021400,060730214001
97028,Street Light,32.7959212,-117.2562158,8/1/16,"Street Light Light Out at 4461-4465 Ocean Boulevard , San DIego, CA 92109",Closed,The six boardwalk street lights have been out for one week.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ulHVAAY,8/25/16,24,1,1,007910,060730079101
97029,Street Light,32.7494704,-117.107926,8/1/16,"Street Light Light Out at 4055 University Avenue, San Diego, CA, United States",Assigned,Street light poles are falling due to rust and are a safety hazard.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ulJpAAI,,29,1,2,002402,060730024022
97040,Street Light,33.01991221,-117.1370684,8/1/16,"Street Light Light Out at 16033 Bedford Hill, San Diego, CA 92127, USA",Assigned,"The street light located at this intersection, is in/op. Flagged with tape.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ulmhAAA,,29,1,1,017030,060730170301
97046,Street Light,32.7433592,-117.0906042,8/1/16,"Street Light Light Out at 4959 Lantana Drive, San Diego, CA, United States",Assigned,"I am a homeowner at the property and have been in this residence for almost 3 years. There have not been street lights on my street. It gets very dark at night especially in front of my house. I called the City when I moved in but nobody called me back regarding the lights. While waiting for the City lights, I installed a sensor light in front of my house. It helped a bit for a while until something was wrong with my electricity and I have not fixed the circuit yet so my front yard gets very dark again. I was told that the City has a plan to put some lights on Lantana Dr.; however, it does not seem to happen soon. Last week (mid July), I found a condom on the street and a couple days later I found another condom (different color from the first one). The street is so dark that some people use the darkness to do business. Please come to my street and check how dark it is at night. It would be great if the street light plan happens soon. It has been too long (almost 3 years) waiting for the lights. Please help!!!",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001um5eAAA,,29,1,2,002709,060730027092
97062,Street Light,32.766632,-117.106999,8/1/16,"Street Light Light Out at 4891 Kensington Drive, San Diego, CA, United States",Duplicate,"Street light has not been working for 3 weeks!  This makes walking after sundown very dangerous and should be considered unacceptable!  This the THIRD time which I have reported this outage which should also be considered unacceptable!!!! I would appreciate some one letting me know why this is taking so long! If there is a serious roadblock, please let me know what it is!",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001umsbAAA,,29,1,1,002001,060730020011
97065,Street Light,32.767219,-117.10803,8/1/16,"Street Light Light Out at 4825 Canterbury Drive, San Diego, CA, United States",Duplicate,"Street light has no globe, no bulb and has multiple wires dangling  from the top!  Without this street light working,the street is very dark and hazardous for walking  after sundown.  I first reported this on July 14th and no action has been taken since! What's the problem?  Please let me know!",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001umx2AAA,,29,1,1,002001,060730020011
97094,Street Light,32.7609957,-117.1389325,8/1/16,"Street Light Light Out at 4600 Texas Street, San Diego, CA 92116, United States",Assigned,Both street lights are out at Texas St & Madison,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unSoAAI,,29,1,1,001000,060730010001
97095,Street Light,32.7671083,-117.1392841,8/1/16,"Street Light Light Out at 5002 Texas St, San Diego, CA, United States",Assigned,Street lights out at Texas & Camino Del Rio South.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unU6AAI,,29,1,1,001000,060730010001
97100,Street Light,32.72795569,-117.2440661,8/1/16,"Light Out at LA PALOMA ST & CATALINA BL,, 92107",Assigned,LIGHT OUT N/W/C,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unadAAA,,29,1,1,007200,060730072001
97113,Street Light,32.69263,-117.086316,8/1/16,"Light Out at 5035 Pelusa St, San Diego, CA, United States",Closed,Street light burnt out. It's dark.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unh5AAA,8/26/16,24,1,3,003305,060730033053
97122,Street Light,32.80135089,-117.2208663,8/1/16,"Street Light Light Out at 2639 Grand Ave, San Diego, CA 92109, USA",Assigned,"4 Ballfields lights are still out at the Mission Bay Youth Field softball field. I received a call 10 days ago from someone in street division saying that the crew was to fix the lights last Friday; but they are still out. There are lights out on the pole by 3B, but there is a bird nest there, so I understand not fixing those. However BOTH are out on the pole in left field, and they need to be fixed! These have been out for over EIGHT MONTHS! How do we get these fixed ASAP????",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unkTAAQ,,29,1,1,007600,060730076001
97143,Street Light,32.7475387,-117.0795338,8/2/16,"Street Light Light Out at 54th Street, San Diego, CA, United States",Assigned,The lights have been out for over a week on 54th and University. This is the second submission request for these lights to be repaired. Thank you!,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001unsSAAQ,,28,1,1,002710,060730027101
