Case Number,Parent Case Number,Status,Mobile/Web Status,Duplicate Verified,Override Duplicate,Functional Location,Question #1,Answer #1,Answer #1 Options,Question #2,Answer #2,Answer #2 Options,Question #3,Answer #3,Question #4,Answer #4,Referral Email List,Referred Email List,Contact Email Internal Referral,Display Referral Information,Referred Email Update,Priority,Case Origin,Case Reason,Date/Time Opened,Opened Date,Case Date/Time Last Modified,Case Last Modified Date,Date/Time Closed,Closed Date,Age (Days),Open,Closed,Subject,Public Description,Problem Group,Problem Category,Problem Category Detail,Problem Description,Geolocation Lat Long,Geolocation (Latitude),Geolocation (Longitude),SAP Notification Number,SAP Problem Category,SAP Problem Code,SAP Problem Type,SAP Reference Document,SAP Source List,SAP System Status,SAP User Status,Short Description,SLA,SAP URL,Case Record Type,block,tract,geoid,blockgroup
100048,0.0,Assigned,In process,0.0,1.0,SX-008706-001,Offensive?,No,,Where is it located?,Street Lights,,,,,,,,,,,High,Web,Problem resolved,8/17/2016 10:44,8/17/2016,8/18/2016 7:37,8/18/2016,,,26.0,1.0,0.0,"Graffiti  at 2220 Camino De La Reina, San Diego, CA 92108, USA",Graffiti painted on the Traffic Signal pole on the Northwest corner of Camino De La Reina and Qualcomm Way (next to the condos).,Other,Graffiti,,,32.772060922755756-117.1403088281723,32.77206092,-117.1403088,1.50001E+11,SIGNALS - Traffic Signals,8312.0,Other Problem,,N,NOPR,INPR,CAM DEL RIO NORTH & QUALCOMM WY,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033NIAAA2,Street Division,2007,009304,060730093042007,2
100047,0.0,Closed,Closed,0.0,0.0,SX-012495,Offensive?,No,,Where is it located?,Other,,,,,,,,,,,Medium,Web,Problem resolved,8/17/2016 10:39,8/17/2016,8/26/2016 0:05,8/26/2016,8/26/2016 0:05,8/26/2016,9.0,0.0,1.0,Graffiti  at 06th & Laurel,Graffiti on the traffic light located at the corner of Sixth Ave. and Laurel St.,Other,Graffiti,,,32.7321586-117.159905,32.7321586,-117.159905,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,N,NOCO,CMPL,06th & LaurelGraffit...,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033NEmAAM,Street Division Closed Case,3031,006000,060730060003031,3
89718,0.0,Closed - Referred,Referred,0.0,0.0,SS-013796,Offensive?,No,,Where is it located?,City Sign,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Web,Problem resolved,6/23/2016 18:05,6/23/2016,6/24/2016 4:18,6/24/2016,,,81.0,1.0,0.0,"Graffiti  at 875 Hotel Cir S, San Diego, CA 92108, USA",I think it's worse now than the Google Street View capture here shows.,Other,Graffiti,,,32.75974104271161-117.17079673809815,32.75974104,-117.1707967,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AA1rAAG,Street Division Closed Case,1036,008902,060730089021036,1
89145,0.0,Closed - Referred,Referred,0.0,0.0,,Offensive?,Yes,,Where is it located?,Other,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Mobile,Problem resolved,6/21/2016 8:29,6/21/2016,6/21/2016 8:51,6/21/2016,,,83.0,1.0,0.0,Graffiti  at I-5 N,Overpass covered in graffiti,Other,Graffiti,,,32.81234698304944-117.2202340818705,32.81234698,-117.2202341,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000039waiAAA,Street Division Closed Case,1011,008503,060730085031011,1
88597,0.0,Closed - Referred,Referred,0.0,0.0,SS-008004,Offensive?,No,,Where is it located?,City Sign,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Mobile,Problem resolved,6/17/2016 12:27,6/17/2016,6/17/2016 14:37,6/17/2016,,,87.0,1.0,0.0,"Graffiti  at Outer Rd & Interstate 5 & Coronado Ave San Diego, CA 92154",Graffiti & Tagging on One Way Signs,Other,Graffiti,,,32.576379-117.080482,32.576379,-117.080482,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000039n7wAAA,Street Division Closed Case,2003,010106,060730101062003,2
88474,86321.0,Closed - Referred,Referred,0.0,0.0,SS-031302,Offensive?,Yes,,Where is it located?,Commercial Property,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Mobile,Problem resolved,6/16/2016 20:34,6/16/2016,6/17/2016 8:33,6/17/2016,,,88.0,1.0,0.0,Graffiti  at I-5 S,,Other,Graffiti,,,32.73232833333334-117.17257,32.73232833,-117.17257,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000039jWxAAI,Street Division Closed Case,2018,006100,060730061002018,2
88438,88435.0,Closed,Closed,0.0,0.0,SS-020017,Offensive?,No,,Where is it located?,City Sign,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Mobile,Problem resolved,6/16/2016 16:33,6/16/2016,6/30/2016 0:04,6/30/2016,6/30/2016 0:04,6/30/2016,13.0,0.0,1.0,Graffiti  at 4107?4187 Normal St,Remove silver graffiti from arrow sign.,Other,Graffiti,,,32.75333559609275-117.1473773104298,32.7533356,-117.1473773,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000039jNHAAY,Street Division Closed Case,3000,000600,060730006003000,3
97211,0.0,Closed,Closed,0.0,0.0,SS-000039,Offensive?,No,,Where is it located?,Street Lights,,,,,,,,,,,Medium,Mobile,Problem resolved,8/2/2016 10:13,8/2/2016,8/10/2016 0:04,8/10/2016,8/10/2016 0:04,8/10/2016,8.0,0.0,1.0,Graffiti  at 762?962 1st Ave,Light poles,Other,Graffiti,,,32.71457524507559-117.1638008115042,32.71457525,-117.1638008,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,M,NOCO,CMPL,762#962 1st AveGraffit...,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uqkqAAA,Street Division Closed Case,3022,005300,060730053003022,3
100032,0.0,Closed,Closed,0.0,0.0,SS-014220,,,,,,,,,,,,,,,,Medium,Phone,Problem resolved,8/17/2016 10:04,8/17/2016,9/3/2016 12:12,9/3/2016,9/3/2016 12:11,9/3/2016,17.0,0.0,1.0,"Graffiti Removal at IRIS AV & MONTEREY PINE DR,, 92154",GRAFFITI ON WALL ACROSS  SCHOOL,Other,Graffiti,,,32.569128687072485-117.07155027782483,32.56912869,-117.0715503,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,1.50001E+11,0,NOCO,CMPL CANC,"IRIS AV & MONTEREY PINE DR,...Graffit...",,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033MsWAAU,Street Division Closed Case,1007,010106,060730101061007,1
86998,0.0,Closed - Referred,Referred,0.0,0.0,,Offensive?,No,,Where is it located?,Other,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Mobile,Outside City,6/9/2016 10:51,6/9/2016,6/9/2016 17:08,6/9/2016,,,95.0,1.0,0.0,Graffiti  at I-5 N,Graffiti is written across the bridge (out of Pacific Beach) and is visible going north on the 5,Other,Graffiti,,,32.81428051078587-117.2216377823351,32.81428051,-117.2216378,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000039H0oAAE,Street Division Closed Case,1011,008503,060730085031011,1
86894,0.0,Closed - Referred,Referred,0.0,1.0,SS-028300,Offensive?,No,,Where is it located?,City Sign,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Web,Problem resolved,6/8/2016 19:47,6/8/2016,6/9/2016 12:59,6/9/2016,,,96.0,1.0,0.0,"Graffiti  at 1237-1331 Washington St, San Diego, CA 92103, USA",The front of the State Route 163 directional sign has been tagged with graffiti in the center median in the 1200 block of Washington St.,Other,Graffiti,,,32.75099597475025-117.1521940700531,32.75099597,-117.1521941,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000002sRcSAAU,Street Division Closed Case,3006,000600,060730006003006,3
86571,0.0,Closed - Referred,Referred,0.0,0.0,SS-001910,Offensive?,No,,Where is it located?,Other,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Mobile,Problem resolved,6/7/2016 14:47,6/7/2016,6/8/2016 11:18,6/8/2016,,,97.0,1.0,0.0,Graffiti  at I-8 E,"Graffiti on the south side of the 8 east, visible when driving on the 163 north.",Other,Graffiti,,,32.7776321-117.0559747,32.7776321,-117.0559747,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000002sLjcAAE,Street Division Closed Case,2009,009706,060730097062009,2
102856,0.0,Closed,Closed,0.0,1.0,SS-023146B1,Offensive?,Yes,,Where is it located?,Park,,,,,,,,,,,Medium,Mobile,Problem resolved,9/1/2016 8:39,9/1/2016,9/7/2016 0:02,9/7/2016,9/7/2016 0:02,9/7/2016,6.0,0.0,1.0,"Graffiti  at Cabrillo Freeway San Diego, CA 92103",Grafitti on bridge,Other,Graffiti,,,32.740755-117.156312,32.740755,-117.156312,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,M,NOCO,CMPL,"Cabrillo Freeway San Diego,...Graffit...",,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034dFCAAY,Street Division Closed Case,2014,005600,060730056002014,2
86468,83027.0,Closed,Closed,0.0,0.0,SS-028300,Offensive?,Yes,,Where is it located?,City Sign,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Mobile,Problem resolved,6/7/2016 9:33,6/7/2016,6/11/2016 0:02,6/11/2016,6/11/2016 0:02,6/11/2016,4.0,0.0,1.0,Graffiti  at N32.75 E117.15,Washington Street between Richmond and Vermont. It is on a sign for sr163.,Other,Graffiti,,,32.750486-117.153053,32.750486,-117.153053,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000002sJ1iAAE,Street Division Closed Case,3006,000600,060730006003006,3
97198,97117.0,Closed,Closed,1.0,0.0,SS-000016,,,,,,,,,,,,,,,,Medium,Phone,Problem resolved,8/2/2016 9:28,8/2/2016,8/6/2016 0:03,8/6/2016,8/6/2016 0:03,8/6/2016,4.0,0.0,1.0,"Graffiti Removal at 01ST AV & W PALM ST,, 92103",Request graffiti removed from the first street bridge.,Other,Graffiti,,,32.73554814506516-117.16397105972864,32.73554815,-117.1639711,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uqFxAAI,Street Division Closed Case,3019,006000,060730060003019,3
102852,0.0,Closed,Closed,0.0,0.0,SS-019764,Offensive?,Yes,,Where is it located?,Utility Box,,,,,,,,,,,Medium,Mobile,Problem resolved,9/1/2016 8:35,9/1/2016,9/7/2016 0:02,9/7/2016,9/7/2016 0:02,9/7/2016,6.0,0.0,1.0,Graffiti  at 6700?6742 Neptune Pl,Horrible graffiti on side of pumping station,Other,Graffiti,,,32.82853212210613-117.2800398712207,32.82853212,-117.2800399,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,M,NOCO,CMPL,6700#6742 Neptune PlGraffit...,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034dCIAAY,Street Division Closed Case,3013,008101,060730081013013,3
100018,0.0,Closed,Closed,0.0,0.0,SS-000447,Offensive?,No,,Where is it located?,City Sign,,,,,,,,,,,Medium,Mobile,Problem resolved,8/17/2016 9:00,8/17/2016,8/26/2016 0:05,8/26/2016,8/26/2016 0:05,8/26/2016,9.0,0.0,1.0,Graffiti  at 501 19th St,,Other,Graffiti,,,32.71063589212866-117.146691921267,32.71063589,-117.1466919,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,M,NOCO,CMPL,501 19th StGraffit...,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033MHBAA2,Street Division Closed Case,1003,004700,060730047001003,1
97195,0.0,Closed,Closed,0.0,0.0,SS-016928,Offensive?,No,,Where is it located?,Commercial Property,,,,,,,,,,,Medium,Web,Problem resolved,8/2/2016 9:27,8/2/2016,8/30/2016 0:06,8/30/2016,8/30/2016 0:06,8/30/2016,28.0,0.0,1.0,"Graffiti  at 4140 Louisiana Street, San Diego, CA, 92104, United States","Taggers sprayed black ""ODC"" on garage doors off alley that runs between Howard and Polk Avenues.  The came north to 4160 Louisiana and started on our fence but were scared off after only getting an O painted.  We have painted out that O this morning.",Other,Graffiti,,,32.7529916-117.1400748,32.7529916,-117.1400748,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,N,NOCO,CMPL,"4142 Louisiana Street, San ...Graffit...",,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uqEzAAI,Street Division Closed Case,1004,000900,060730009001004,1
82775,0.0,Closed - Referred,Referred,0.0,0.0,,Offensive?,No,,Where is it located?,Other,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Web,Problem resolved,6/1/2016 15:40,6/1/2016,6/2/2016 7:28,6/2/2016,,,103.0,1.0,0.0,Graffiti  at Grand Ave freeway offramp on the 5 north,graffiti is on the walls on the left when you are exiting the Grand Ave freeway offramp on the 5 north,Other,Graffiti,,,0,0.0,0.0,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000002rxXhAAI,Street Division Closed Case,1004,000900,060730009001004,1
97182,0.0,Closed,Closed,0.0,0.0,SS-029509,Offensive?,No,,Where is it located?,Private Residence,,,,,,,,,,,Medium,Mobile,Problem resolved,8/2/2016 8:19,8/2/2016,8/30/2016 0:06,8/30/2016,8/30/2016 0:06,8/30/2016,28.0,0.0,1.0,Graffiti  at 1525?1599 S 42nd St,,Other,Graffiti,,,32.6900679013065-117.1038101055819,32.6900679,-117.1038101,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,M,NOCO,CMPL,1525#1599 S 42nd StGraffit...,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001upVfAAI,Street Division Closed Case,1007,003602,060730036021007,1
102836,0.0,Closed,Closed,0.0,0.0,SS-018918,Offensive?,No,,Where is it located?,Other,,,,,,,,,,,Medium,Web,Problem resolved,9/1/2016 8:08,9/1/2016,9/7/2016 0:02,9/7/2016,9/7/2016 0:02,9/7/2016,6.0,0.0,1.0,"Graffiti  at 5474 Montezuma Rd, San Diego, CA 92115, USA",White Graffiti painted on the SDSU Parking Structure Entrance Sign,Other,Graffiti,,,32.77080778285115-117.0769292810898,32.77080778,-117.0769293,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,N,NOCO,CMPL,"5474 Montezuma Rd, San Dieg...Graffit...",,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034cx8AAA,Street Division Closed Case,2006,002801,060730028012006,2
97178,0.0,Closed - Referred,Referred,0.0,0.0,,Offensive?,Yes,,Where is it located?,Street or Sidewalk,,,,,,,,,This report has been referred to Environmental Services at trash@sandiego.gov,trash@sandiego.gov,Medium,Web,Problem resolved,8/2/2016 8:12,8/2/2016,8/2/2016 8:25,8/2/2016,,,41.0,1.0,0.0,"Graffiti  at 4401-4499 Ladera St, San Diego, CA 92107, USA",Trash can located at the intersection of Cordova & Ladera Street.  Covered with graffiti.,Other,Graffiti,,,32.71863265662026-117.25481538696289,32.71863266,-117.2548154,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001upQaAAI,Street Division Closed Case,2063,007200,060730072002063,2
102826,0.0,Closed,Closed,0.0,0.0,SS-024394,Offensive?,Yes,,Where is it located?,Utility Box,,,,,,,,,,,Medium,Web,Problem resolved,9/1/2016 7:40,9/1/2016,9/7/2016 0:02,9/7/2016,9/7/2016 0:02,9/7/2016,6.0,0.0,1.0,"Graffiti  at 1194-1246 Saturn Blvd, San Diego, CA 92154, USA","The top of the utility box (D214504) was tagged. The F-word was included. This box is on the west side of Saturn Blvd, across the street from 1215 Saturn Blvd.",Other,Graffiti,,,32.57446382091358-117.09281543320463,32.57446382,-117.0928154,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,N,NOCO,CMPL,"1194-1246 Saturn Blvd, San ...Graffit...",,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034cfYAAQ,Street Division Closed Case,2000,010104,060730101042000,2
97167,0.0,Closed,Closed,0.0,0.0,SS-019154,Offensive?,No,,Where is it located?,Private Residence,,,,,,,,,,,Medium,Web,Problem resolved,8/2/2016 6:50,8/2/2016,8/30/2016 0:06,8/30/2016,8/30/2016 0:06,8/30/2016,28.0,0.0,1.0,"Graffiti  at 4002 Mt Abraham Ave, San Diego, CA 92111, USA","On South fence of house on corner of Mt Abraham Ave. and Mt Aguilar Dr.
Two competing taggers, covering each others tags....been up a week.",Other,Graffiti,,,32.81722016899411-117.17550783081054,32.81722017,-117.1755078,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,N,NOCO,CMPL,"4002 Mt Abraham Ave, San Di...Graffit...",,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uoXzAAI,Street Division Closed Case,5004,008509,060730085095004,5
102821,0.0,Closed,Closed,1.0,0.0,SS-023139,Offensive?,No,,Where is it located?,Utility Box,,,,,,,,,,,Medium,Mobile,Problem resolved,9/1/2016 7:29,9/1/2016,9/7/2016 0:02,9/7/2016,9/7/2016 0:02,9/7/2016,6.0,0.0,1.0,"Graffiti  at 3846-3898 Richmond Street San Diego, CA 92103",Grafitti,Other,Graffiti,,,32.748192-117.151342,32.748192,-117.151342,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,M,NOCO,CMPL,3846-3898 Richmond Street S...Graffit...,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034cadAAA,Street Division Closed Case,1000,000700,060730007001000,1
97166,0.0,Assigned,In process,0.0,1.0,SS-007691,Offensive?,No,,Where is it located?,Private Residence,,,,,,,,,,,Medium,Mobile,Problem resolved,8/2/2016 6:39,8/2/2016,8/5/2016 0:03,8/5/2016,,,41.0,1.0,0.0,Graffiti  at 2930 Columbine St,,Other,Graffiti,,,32.73673284801909-117.102084690814,32.73673285,-117.1020847,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,M,NOPR,INPR,2930 Columbine StGraffit...,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uoTiAAI,Street Division,2001,002502,060730025022001,2
