incident_num,date_time,day,stno,stdir1,street,streettype,stdir2,stname2,sttype2,call_type,disposition,beat,priority,lat,lon,tract,blockgroup,block ,block
P16010000129,2016-01-01 00:42:49,6,0,,ALTA VIEW,DR,,WOODMAN,ST,20002,CAN,437.0,1.0,,,,,,
P16010000131,2016-01-01 00:43:21,6,400,,6TH,AV,,,,FD,A,523.0,2.0,32.70947,-117.1592,5400.0,4.0,,4013.0
P16010000135,2016-01-01 00:44:33,6,3200,,BERGER,AV,,,,415N,CAN,314.0,3.0,32.802883,-117.15183,8702.0,3.0,,3012.0
P16010000142,2016-01-01 00:49:18,6,3600,,ALTADENA,AV,,,,415N,CAN,827.0,3.0,32.74414,-117.08596,2709.0,1.0,,1003.0
P16010000145,2016-01-01 00:52:11,6,0,,FORTUNA,AV,,HAINES,ST,1185,A,122.0,2.0,,,,,,
P16010000147,2016-01-01 00:52:43,6,3400,,42ND,ST,,,,PARTY,CAN,834.0,3.0,32.741238,-117.10457,2501.0,3.0,,3011.0
P16010000163,2016-01-01 00:58:22,6,3800,,PENDIENTE,CT,,,,PARTY,CAN,312.0,3.0,32.81423,-117.08388,9507.0,1.0,,1004.0
P16010000165,2016-01-01 00:58:40,6,600,,BROADWAY,,,,,1016,A,524.0,2.0,32.715714,-117.15919,5300.0,1.0,,1017.0
P16010000166,2016-01-01 00:59:10,6,3800,,CAM DEL RIO NORTH,,,,,1016,A,315.0,2.0,32.780655,-117.112885,9603.0,4.0,,4014.0
P16010000168,2016-01-01 01:00:30,6,8300,,JAMACHA,RD,,,,1183,A,434.0,,32.716705,-117.02795,14102.0,2.0,,2008.0
P16010000189,2016-01-01 01:08:24,6,1700,W,WASHINGTON,ST,,,,HZRD,CAN,626.0,2.0,32.746456,-117.17861,202.0,2.0,,2005.0
P16010000192,2016-01-01 01:11:25,6,5100,,MEADOWS DEL MAR,DY,,,,459A,CAN,934.0,1.0,32.938965,-117.20188,21500.0,1.0,,1051.0
P16010000194,2016-01-01 01:11:45,6,3900,,30TH,ST,,,,242,A,813.0,1.0,32.7486,-117.13015,1300.0,2.0,,2009.0
P16010000202,2016-01-01 01:14:12,6,600,,K,ST,,,,911,CAN,521.0,1.0,32.70834,-117.15912,5400.0,4.0,,4021.0
P16010000205,2016-01-01 01:15:58,6,4100,,BETA,ST,,,,415,CAN,442.0,2.0,32.690853,-117.10579,3602.0,1.0,,1007.0
P16010000209,2016-01-01 01:19:25,6,5500,,MICHAEL,ST,,,,415V,A,823.0,1.0,32.743366,-117.077,2703.0,3.0,,3007.0
P16010000213,2016-01-01 01:23:26,6,1400,,BROADWAY,,,,,1016,A,521.0,2.0,32.715748,-117.15184,5200.0,1.0,,1013.0
P16010000215,2016-01-01 01:26:02,6,4700,,CATHER,AV,,,,PARTY,CAN,115.0,3.0,32.85943,-117.19303,8344.0,1.0,,1001.0
P16010000221,2016-01-01 01:28:10,6,2700,,GRAND,AV,,,,CW,A,122.0,1.0,32.80226,-117.22002,7800.0,1.0,,1024.0
P16010000226,2016-01-01 01:29:04,6,2200,,EL CAJON,BL,,,,911,CAN,624.0,1.0,32.755272,-117.1412,1000.0,4.0,,4017.0
P16010000232,2016-01-01 01:31:27,6,0,,MISSION,BL,,MISSOURI,ST,1183,A,122.0,,,,,,,
P16010000236,2016-01-01 01:33:00,6,3500,,44TH,ST,,,,PARTY,CAN,833.0,3.0,32.74228,-117.09991,2601.0,1.0,,1009.0
P16010000240,2016-01-01 01:35:07,6,600,,MARKET,ST,,,,911,CAN,524.0,1.0,32.711506,-117.15914,5300.0,2.0,,2017.0
P16010000242,2016-01-01 01:36:04,6,3000,,UNIVERSITY,AV,,,,1016,A,813.0,2.0,32.748455,-117.13002,1300.0,2.0,,2010.0
P16010000252,2016-01-01 01:41:35,6,5100,,RESERVOIR,DR,,,,PARTY,CAN,327.0,3.0,32.77057,-117.05597,2904.0,1.0,,1007.0
P16010000256,2016-01-01 01:42:18,6,500,,HOTEL CIRCLE NORTH,,,,,415,CAN,623.0,2.0,32.76125,-117.16848,8902.0,1.0,,1003.0
P16010000257,2016-01-01 01:43:40,6,2400,,HOTEL CIRCLE NORTH,,,,,415V,A,623.0,1.0,32.75978,-117.18477,8902.0,1.0,,1011.0
P16010000264,2016-01-01 01:46:35,6,4700,,BAYARD,ST,,,,1016,A,122.0,2.0,32.799797,-117.25453,7905.0,1.0,,1019.0
P16010000265,2016-01-01 01:47:30,6,3900,,JEWELL,ST,,,,PARTY,CAN,122.0,3.0,32.791084,-117.236275,7702.0,4.0,,4001.0
P16010000266,2016-01-01 01:47:58,6,0,,EMERALD,CT,,MISSION,BL,1016,A,122.0,2.0,,,,,,
P16010000284,2016-01-01 01:57:23,6,3000,,C,ST,,,,42681,A,517.0,1.0,32.716915,-117.12942,4100.0,4.0,,4057.0
P16010000287,2016-01-01 01:58:52,6,1100,,GARNET,AV,,,,1016PT,A,122.0,2.0,32.79781,-117.24986,7905.0,2.0,,2036.0
P16010000292,2016-01-01 02:01:14,6,2300,,INDIA,ST,,,,459A,CAN,528.0,2.0,32.72841,-117.17033,5800.0,1.0,,1013.0
P16010000295,2016-01-01 02:02:31,6,200,,PARDEE,ST,,,,PARTY,CAN,444.0,3.0,32.70799,-117.11787,3501.0,3.0,,3011.0
P16010000298,2016-01-01 02:05:39,6,500,,F,ST,,,,1016,A,523.0,2.0,32.71363,-117.16007,5300.0,2.0,,2006.0
P16010000300,2016-01-01 02:06:11,6,0,,2ND,AV,,ELM,ST,1016,A,529.0,2.0,,,,,,
P16010000302,2016-01-01 02:06:35,6,4000,,32ND,ST,,,,42681,CAN,813.0,1.0,32.75051,-117.12522,1600.0,4.0,,4007.0
P16010000305,2016-01-01 02:07:04,6,1300,,GARNET,AV,,,,1016,A,122.0,2.0,32.798607,-117.246216,7903.0,3.0,,3022.0
P16010000320,2016-01-01 02:14:55,6,1600,,PACIFIC,HY,,,,911,CAN,527.0,1.0,32.72351,-117.17136,5800.0,1.0,,1014.0
P16010000325,2016-01-01 02:16:42,6,3800,,BAYSIDE,LN,,,,PARTY,CAN,121.0,3.0,32.784836,-117.25214,7600.0,6.0,,6037.0
P16010000326,2016-01-01 02:16:46,6,3100,,NEWTON,AV,,,,415V,CAN,512.0,1.0,32.694942,-117.12714,3902.0,3.0,,3006.0
P16010000332,2016-01-01 02:21:28,6,1200,,PACIFIC,HY,,,,1131,CAN,524.0,1.0,32.717777,-117.17108,5400.0,2.0,,2006.0
P16010000335,2016-01-01 02:22:27,6,600,,MARKET,ST,,,,911,CAN,524.0,1.0,32.711506,-117.15914,5300.0,2.0,,2017.0
P16010000338,2016-01-01 02:24:23,6,1800,,SAN DIEGO,AV,,,,415,CAN,626.0,2.0,32.744232,-117.18439,6500.0,3.0,,3036.0
P16010000342,2016-01-01 02:26:24,6,0,,5TH,AV,,ISLAND,AV,42682,A,523.0,,,,,,,
P16010000344,2016-01-01 02:28:13,6,2000,,BERYL,ST,,,,CW,CAN,122.0,1.0,32.807896,-117.23565,8002.0,3.0,,3000.0
P16010000352,2016-01-01 02:32:38,6,400,,MARKET,ST,,,,911,CAN,523.0,1.0,32.71149,-117.160965,5300.0,2.0,,2015.0
P16010000354,2016-01-01 02:33:12,6,0,,HARBOR,DR,,PARK,BL,1183,CAN,511.0,,,,,,,
P16010000358,2016-01-01 02:36:34,6,500,,5TH,AV,,,,415,A,523.0,2.0,32.71051,-117.160126,5400.0,4.0,,4004.0
P16010000369,2016-01-01 02:39:16,6,5200,,GAINES,ST,,,,INFO,CAN,622.0,2.0,32.76419,-117.19524,9107.0,1.0,,1034.0
P16010000370,2016-01-01 02:40:25,6,4500,,60TH,ST,,,,415N,CAN,822.0,3.0,32.758316,-117.0683,2702.0,1.0,,1001.0
P16010000371,2016-01-01 02:41:17,6,0,,10TH,AV,,UNIVERSITY,AV,20002,CAN,627.0,1.0,,,,,,
P16010000377,2016-01-01 02:43:53,6,600,,MARKET,ST,,,,911,CAN,524.0,1.0,32.711506,-117.15914,5300.0,2.0,,2017.0
P16010000384,2016-01-01 02:47:36,6,5400,,KEARNY MESA,RD,,,,911,CAN,313.0,1.0,32.833008,-117.14354,8511.0,1.0,,1070.0
P16010000394,2016-01-01 02:52:52,6,0,,5TH,AV,,J,ST,1016,A,523.0,2.0,,,,,,
P16010000401,2016-01-01 02:56:12,6,2800,,39TH,ST,,,,415N,CAN,834.0,3.0,32.734917,-117.110794,2501.0,1.0,,1002.0
P16010000402,2016-01-01 02:56:25,6,3800,,45TH,ST,,,,415N,CAN,833.0,3.0,32.74787,-117.09768,2601.0,2.0,,2010.0
P16010000413,2016-01-01 03:06:58,6,4000,,KANSAS,ST,,,,415N,CAN,813.0,3.0,32.75049,-117.13139,1300.0,3.0,,3008.0
P16010000415,2016-01-01 03:08:40,6,12600,,EL CAMINO REAL,,,,,415V,A,934.0,1.0,32.933666,-117.2365,8333.0,2.0,,2038.0
P16010000416,2016-01-01 03:09:31,6,4300,,WILSON,AV,,,,1146,A,811.0,,32.755276,-117.11684,1700.0,1.0,,1012.0
P16010000419,2016-01-01 03:10:17,6,600,,K,ST,,,,911,CAN,521.0,1.0,32.70834,-117.15912,5400.0,4.0,,4021.0
P16010000439,2016-01-01 03:20:48,6,700,,MEDICAL CENTER,CT,,,,242R,CAN,725.0,3.0,,,,,,
P16010000441,2016-01-01 03:22:04,6,0,,4TH,AV,,G,ST,CW,CAN,523.0,1.0,,,,,,
P16010000446,2016-01-01 03:27:08,6,400,,8TH,AV,,,,594,A,521.0,,32.70948,-117.15739,5400.0,4.0,,4015.0
P16010000452,2016-01-01 03:31:12,6,7400,,HAZARD CENTER,DR,,,,415V,A,315.0,1.0,32.76833,-117.16121,9304.0,2.0,,2011.0
P16010000454,2016-01-01 03:31:37,6,400,,6TH,AV,,,,911,CAN,521.0,1.0,32.70947,-117.1592,5400.0,4.0,,4013.0
P16010000458,2016-01-01 03:36:22,6,4400,,WEST POINT LOMA,BL,,,,5150,CAN,613.0,2.0,32.752224,-117.23347,6801.0,1.0,,1011.0
P16010000463,2016-01-01 03:41:15,6,300,,ISLAND,AV,,,,415V,CAN,522.0,1.0,32.710423,-117.161865,5400.0,4.0,,4005.0
P16010000481,2016-01-01 04:03:01,6,800,,6TH,AV,,,,459A,CAN,524.0,2.0,32.71371,-117.15925,5300.0,2.0,,2006.0
P16010000484,2016-01-01 04:06:28,6,4000,,DOVE,ST,,,,1183,A,627.0,,32.749947,-117.16867,201.0,1.0,,1049.0
P16010000489,2016-01-01 04:10:15,6,9600,,HEINRICH HERTZ,DR,,,,459A,CAN,713.0,2.0,32.55875,-116.93987,10015.0,1.0,,1049.0
P16010000498,2016-01-01 04:18:30,6,3500,,MADISON,AV,,,,CW,CAN,811.0,1.0,32.76098,-117.11813,1800.0,2.0,,2018.0
P16010000505,2016-01-01 04:26:31,6,3700,,OCEAN FRONT,WK,,,,PARTY,CAN,121.0,3.0,32.782455,-117.25357,7600.0,3.0,,3023.0
P16010000509,2016-01-01 04:31:08,6,5000,,54TH,ST,,,,CW,CAN,326.0,1.0,32.76893,-117.080284,2803.0,4.0,,4001.0
P16010000536,2016-01-01 05:04:50,6,2600,,BOSTON,AV,,,,415V,A,511.0,1.0,32.69382,-117.1379,5000.0,1.0,,1064.0
P16010000537,2016-01-01 05:08:39,6,3400,,FLORENCE,ST,,,,PARTY,CAN,441.0,3.0,32.698067,-117.119286,3502.0,1.0,,1001.0
P16010000540,2016-01-01 05:14:42,6,0,,CHARGER JNO BALBOA,,,,,1016,A,111.0,2.0,,,,,,
P16010000542,2016-01-01 05:16:00,6,1500,,2ND,AV,,,,MP,CAN,526.0,,32.721012,-117.16295,5600.0,1.0,,1019.0
P16010000547,2016-01-01 05:24:47,6,0,,BONILLO,DR,,UNIVERSITY,AV,23152,A,841.0,2.0,,,,,,
P16010000548,2016-01-01 05:25:52,6,1200,,IMPERIAL,AV,,,,911P,CAN,541.0,2.0,32.706276,-117.15366,5100.0,2.0,,2021.0
P16010000550,2016-01-01 05:29:19,6,1600,,6TH,AV,,,,415,CAN,526.0,2.0,32.72205,-117.15931,5600.0,1.0,,1001.0
P16010000552,2016-01-01 05:40:03,6,9300,,BEAK,PT,,,,911,CAN,233.0,1.0,32.944386,-117.12456,17037.0,3.0,,3004.0
P16010000553,2016-01-01 05:40:15,6,2300,,EL CAJON,BL,,,,911,CAN,624.0,1.0,32.755276,-117.13997,1000.0,4.0,,4018.0
P16010000563,2016-01-01 05:57:40,6,0,S,35TH,ST,,FLORENCE,LN,415,CAN,441.0,2.0,32.705517,-117.11878,3501.0,2.0,,2006.0
P16010000567,2016-01-01 05:59:02,6,4500,,MISSION BAY,DR,,,,415V,A,122.0,1.0,32.802933,-117.2165,7800.0,1.0,,1019.0
P16010000581,2016-01-01 06:25:34,6,1600,,SHERBROOKE,ST,,,,415V,A,437.0,1.0,32.687515,-117.03004,3213.0,1.0,,1002.0
P16010000589,2016-01-01 06:34:29,6,3400,,GROGAN,CR,,,,911,CAN,723.0,1.0,32.582417,-117.05978,10011.0,2.0,,2004.0
P16010000592,2016-01-01 06:42:33,6,3800,,SHERMAN,ST,,,,1016,A,611.0,2.0,32.755665,-117.20738,6500.0,1.0,,1009.0
P16010000597,2016-01-01 06:47:06,6,6300,,MIRAMAR,RD,,,,23152CR,A,931.0,,32.87755,-117.1792,8350.0,1.0,,1045.0
P16010000606,2016-01-01 06:54:19,6,0,,6TH,AV,,E,ST,488R,CAN,524.0,2.0,,,,,,
P16010000608,2016-01-01 06:56:10,6,1400,,UNIVERSITY,AV,,,,245,A,627.0,,32.748512,-117.151115,600.0,3.0,,3014.0
P16010000625,2016-01-01 07:20:25,6,6400,,POTOMAC,ST,,,,911,CAN,438.0,1.0,32.682777,-117.05396,3201.0,2.0,,2024.0
P16010000629,2016-01-01 07:25:32,6,4000,,EVERTS,ST,,,,586,CAN,122.0,,32.79174,-117.246124,7701.0,1.0,,1003.0
P16010000634,2016-01-01 07:32:56,6,600,,7TH,AV,,,,10851R,CAN,524.0,,32.71159,-117.15832,5300.0,2.0,,2017.0
P16010000635,2016-01-01 07:33:30,6,0,,14TH,ST,,F,ST,415,CAN,521.0,2.0,,,,,,
P16010000646,2016-01-01 07:44:08,6,10,,15TH,ST,,,,1016,A,521.0,2.0,32.705235,-117.150345,5100.0,2.0,,2031.0
P16010000647,2016-01-01 07:45:30,6,1300,,OTONO,ST,,,,1131,A,723.0,1.0,32.573048,-117.05219,10004.0,1.0,,1008.0
P16010000674,2016-01-01 08:13:27,6,0,,GOLDFINCH,ST,,WASHINGTON,ST,CW,A,627.0,1.0,,,,,,
P16010000679,2016-01-01 08:18:09,6,2500,,IMPERIAL,AV,,,,1186,A,512.0,,32.706352,-117.14015,4800.0,3.0,,3011.0
P16010000692,2016-01-01 08:25:37,6,4400,,CAM DE LA PLAZA,,,,,459A,CAN,712.0,2.0,,,,,,
P16010000700,2016-01-01 08:33:25,6,2700,,DE ANZA,RD,,,,23152,A,123.0,2.0,32.79747,-117.215805,7600.0,1.0,,1000.0
P16010000701,2016-01-01 08:33:39,6,4400,,MT CASTLE,AV,,,,SLEEPER,CAN,112.0,3.0,32.821106,-117.18532,8504.0,4.0,,4003.0
P16010000711,2016-01-01 08:45:53,6,2800,,BELKNAP,WY,,,,459R,CAN,611.0,3.0,32.730724,-117.221794,21400.0,1.0,,1048.0
P16010000712,2016-01-01 08:46:29,6,5100,,REX,AV,,,,415,A,827.0,2.0,32.74825,-117.08367,2710.0,2.0,,2000.0
P16010000729,2016-01-01 09:04:03,6,3100,,CAUBY,ST,,,,415V,A,611.0,1.0,32.749477,-117.20892,6802.0,1.0,,1002.0
P16010000730,2016-01-01 09:04:43,6,0,W,ASH,ST,,UNION,ST,415,CAN,524.0,2.0,,,,,,
P16010000735,2016-01-01 09:08:28,6,0,W,CEDAR,ST,,KETTNER,BL,415V,A,528.0,1.0,,,,,,
P16010000736,2016-01-01 09:10:10,6,5900,,SCHUYLER,ST,,,,911,CAN,438.0,1.0,32.678257,-117.064156,3202.0,1.0,,1001.0
P16010000749,2016-01-01 09:23:22,6,6800,,CONDON,DR,,,,594,A,115.0,1.0,32.857292,-117.21029,8307.0,2.0,,2001.0
P16010000758,2016-01-01 09:29:30,6,6900,,ALCONA,ST,,,,1130,A,437.0,1.0,32.686565,-117.044815,3209.0,1.0,,1001.0
P16010000761,2016-01-01 09:33:24,6,1800,,HOTEL CIRCLE SOUTH,,,,,10852R,CAN,623.0,3.0,32.759544,-117.17742,8902.0,1.0,,1011.0
P16010000762,2016-01-01 09:34:07,6,1800,,UNIVERSITY,AV,,,,1016,A,813.0,2.0,32.74843,-117.14626,900.0,4.0,,4005.0
P16010000769,2016-01-01 09:39:17,6,4000,,ANASTASIA,ST,,,,594R,CAN,111.0,3.0,32.817883,-117.1666,8509.0,1.0,,1010.0
P16010000778,2016-01-01 09:44:50,6,1600,,GARNET,AV,,,,459A,CAN,122.0,2.0,32.79983,-117.24071,7903.0,2.0,,2004.0
P16010000779,2016-01-01 09:44:53,6,3900,,CROWN POINT,DR,,,,586,CAN,122.0,,32.79194,-117.231895,7702.0,3.0,,3012.0
P16010000787,2016-01-01 09:52:24,6,2100,,MORENA,BL,,,,459A,CAN,116.0,2.0,32.78362,-117.206856,9104.0,1.0,,1006.0
P16010000788,2016-01-01 09:53:47,6,3600,,41ST,ST,,,,20002R,CAN,834.0,3.0,32.744205,-117.10699,2402.0,2.0,,2020.0
P16010000794,2016-01-01 09:59:27,6,4900,,68TH,ST,,,,MP,CAN,821.0,,32.767586,-117.05147,2905.0,1.0,,1015.0
P16010000797,2016-01-01 10:02:16,6,10800,,CAM RUIZ,,,,,911,CAN,242.0,1.0,32.915863,-117.14393,8349.0,2.0,,2000.0
P16010000806,2016-01-01 10:10:46,6,1700,,F,ST,,,,1016,A,521.0,2.0,,,,,,
P16010000807,2016-01-01 10:11:49,6,2900,,MENLO,AV,,,,586,CAN,836.0,2.0,32.736023,-117.09477,2602.0,2.0,,2006.0
P16010000810,2016-01-01 10:15:46,6,1200,,IMPERIAL,AV,,,,1016,A,541.0,2.0,32.706276,-117.15366,5100.0,2.0,,2021.0
P16010000828,2016-01-01 10:28:32,6,4000,,52ND,ST,,,,459-SUSP,A,826.0,1.0,32.749153,-117.083595,2708.0,4.0,,4006.0
P16010000844,2016-01-01 10:38:37,6,1500,,VISTA CLARIDAD,,,,,415,CAN,124.0,2.0,32.561848,-117.0597,10012.0,1.0,,1001.0
P16010000852,2016-01-01 10:47:23,6,3000,,ALTA VIEW,DR,,,,SLEEPER,CAN,437.0,3.0,32.676086,-117.03844,3209.0,2.0,,2010.0
P16010000861,2016-01-01 10:52:19,6,0,,5TH,AV,,JUNIPER,ST,CW,A,529.0,1.0,,,,,,
P16010000875,2016-01-01 11:06:32,6,3500,,CENTRAL,AV,,,,911,CAN,834.0,1.0,32.742344,-117.10826,2501.0,2.0,,2002.0
P16010000882,2016-01-01 11:11:23,6,4800,,34TH,ST,,,,911,CAN,814.0,1.0,32.76559,-117.12062,1900.0,3.0,,3007.0
P16010000884,2016-01-01 11:12:09,6,500,,C,ST,,,,911P,CAN,524.0,2.0,32.71677,-117.160095,5300.0,1.0,,1013.0
P16010000911,2016-01-01 11:37:55,6,1700,,TAMARAND,WY,,,,5150,A,721.0,,32.56734,-117.096794,10104.0,1.0,,1010.0
P16010000921,2016-01-01 11:46:57,6,0,,2ND,AV,,ISLAND,AV,415,CAN,522.0,2.0,,,,,,
P16010000924,2016-01-01 11:48:35,6,5200,,IMPERIAL,AV,,,,415,CAN,432.0,2.0,32.705765,-117.08248,3111.0,1.0,,1013.0
P16010000932,2016-01-01 11:52:02,6,0,,HANCOCK,ST,,WASHINGTON,ST,242,CAN,628.0,1.0,,,,,,
P16010000933,2016-01-01 11:52:04,6,0,,CYPRESS,AV,,VERMONT,ST,415V,A,627.0,1.0,,,,,,
P16010000934,2016-01-01 11:52:42,6,2800,,BAYSIDE,WK,,,,459A,CAN,121.0,1.0,32.7636,-117.24993,7600.0,5.0,,5044.0
P16010000956,2016-01-01 12:15:22,6,6600,,DORIANA,ST,,,,CW,A,437.0,1.0,32.683628,-117.049805,3208.0,1.0,,1000.0
P16010000968,2016-01-01 12:25:25,6,6500,,CRYSTALAIRE,DR,,,,459A,CAN,323.0,1.0,32.7891,-117.05693,9706.0,6.0,,6008.0
P16010000976,2016-01-01 12:30:08,6,7500,,BROOKHAVEN,RD,,,,CC,A,437.0,3.0,32.694897,-117.03268,3115.0,3.0,,3002.0
P16010000978,2016-01-01 12:31:31,6,4100,,BONILLO,DR,,,,415,A,841.0,2.0,32.753323,-117.05959,2903.0,1.0,,1000.0
P16010000994,2016-01-01 12:52:22,6,10600,,NORTH TORREY PINES,RD,,,,911,CAN,126.0,1.0,,,,,,
P16010001000,2016-01-01 12:56:53,6,1800,,GARNET,AV,,,,CC,CAN,122.0,2.0,32.80064,-117.23702,7903.0,2.0,,2002.0
P16010001004,2016-01-01 13:00:23,6,5100,,COBAN,ST,,,,5150,CAN,432.0,2.0,32.69592,-117.084785,3101.0,3.0,,3005.0
P16010001019,2016-01-01 13:11:40,6,6300,,CLYDE,AV,,,,415,CAN,438.0,,32.673626,-117.0531,3212.0,2.0,,2003.0
P16010001021,2016-01-01 13:12:40,6,6800,,WINDWARD,ST,,,,459A,CAN,437.0,1.0,32.69378,-117.04726,3115.0,4.0,,4002.0
P16010001037,2016-01-01 13:22:37,6,5200,,ILLUMINA,WY,,,,459,A,115.0,,,,,,,
P16010001041,2016-01-01 13:26:12,6,0,,I-8 WB OFF,RA,,SUNSET CLIFFS,BL,CW,A,613.0,1.0,,,,,,
P16010001045,2016-01-01 13:31:34,6,3200,,CENTRAL,AV,,,,459A,CAN,834.0,1.0,32.739403,-117.108284,2501.0,1.0,,1012.0
P16010001046,2016-01-01 13:32:29,6,1600,,NEWTON,AV,,,,1186,A,511.0,,32.70324,-117.15071,5100.0,2.0,,2058.0
P16010001047,2016-01-01 13:33:54,6,200,W,ISLAND,AV,,,,459A,CAN,522.0,2.0,32.710423,-117.16278,5400.0,4.0,,4006.0
P16010001049,2016-01-01 13:35:21,6,1400,,BROADWAY,,,,,CCCC,CAN,521.0,4.0,32.715748,-117.15184,5200.0,1.0,,1013.0
P16010001056,2016-01-01 13:40:25,6,0,,41ST,ST,,MARKET,ST,1016,A,444.0,1.0,,,,,,
P16010001080,2016-01-01 13:58:18,6,4000,,INGRAHAM,ST,,,,MP,CAN,122.0,,32.792465,-117.238655,7701.0,3.0,,3000.0
P16010001081,2016-01-01 13:58:20,6,0,,INDIA,ST,,WINDER,ST,245,A,628.0,1.0,,,,,,
P16010001088,2016-01-01 14:04:42,6,3100,,SPORTS ARENA,BL,,,,459A,CAN,611.0,2.0,,,,,,
P16010001094,2016-01-01 14:07:37,6,3100,,MISSION,BL,,,,20002R,CAN,121.0,2.0,32.77003,-117.251274,7600.0,2.0,,2040.0
P16010001100,2016-01-01 14:14:12,6,700,,4TH,AV,,,,415PP,CAN,525.0,2.0,32.71264,-117.16107,5300.0,3.0,,3022.0
P16010001118,2016-01-01 14:29:38,6,3300,,MURPHY CANYON,RD,,,,1016,CAN,311.0,2.0,32.803997,-117.11385,9306.0,4.0,,4004.0
P16010001121,2016-01-01 14:33:07,6,13000,,EVENING CREEK S,DR,,,,911,CAN,231.0,1.0,,,,,,
P16010001126,2016-01-01 14:36:05,6,7700,,CONVOY,CT,,,,459A,CAN,313.0,2.0,32.83475,-117.15463,8511.0,1.0,,1083.0
P16010001135,2016-01-01 14:40:34,6,0,,26TH,ST,,FLORIDA,DR,HZRD,A,531.0,2.0,,,,,,
P16010001179,2016-01-01 15:04:51,6,3400,,COLLEGE,AV,,,,1016,A,451.0,2.0,32.74322,-117.052025,2703.0,4.0,,4025.0
P16010001187,2016-01-01 15:09:33,6,5200,,FIORE,TR,,,,1151,A,115.0,2.0,32.87005,-117.20459,8340.0,1.0,,1003.0
P16010001190,2016-01-01 15:13:17,6,4000,,ETA,ST,,,,415V,A,443.0,1.0,32.686646,-117.10785,3603.0,3.0,,3016.0
P16010001197,2016-01-01 15:16:13,6,8700,,BENNINGTON,ST,,,,415,A,242.0,2.0,32.910572,-117.13725,8358.0,1.0,,1005.0
P16010001199,2016-01-01 15:17:54,6,0,,44TH,ST,,UNIVERSITY,AV,1183,A,833.0,,,,,,,
P16010001201,2016-01-01 15:19:33,6,3600,,MT EVEREST,BL,,,,1183,A,112.0,,32.807156,-117.18657,8512.0,2.0,,2009.0
P16010001223,2016-01-01 15:35:12,6,2100,,FENTON,PY,,,,417,A,315.0,1.0,,,,,,
P16010001229,2016-01-01 15:37:55,6,3500,,4TH,AV,,,,911,CAN,627.0,1.0,32.74162,-117.16156,300.0,4.0,,4007.0
P16010001231,2016-01-01 15:38:55,6,3100,,SPORTS ARENA,BL,,,,1016,A,611.0,2.0,,,,,,
P16010001249,2016-01-01 15:49:27,6,7700,,STARLING,DR,,,,459A,CAN,314.0,2.0,32.79277,-117.156235,8702.0,1.0,,1002.0
P16010001253,2016-01-01 15:52:21,6,500,,SATURN,BL,,,,488R,A,721.0,3.0,32.587433,-117.09264,10103.0,1.0,,1031.0
P16010001257,2016-01-01 15:53:45,6,3400,,COLLEGE,AV,,,,1016,A,451.0,2.0,32.74322,-117.052025,2703.0,4.0,,4025.0
P16010001268,2016-01-01 16:02:05,6,3300,,MURPHY CANYON,RD,,,,211,A,311.0,1.0,32.803997,-117.11385,9306.0,4.0,,4004.0
