Case Number,Problem Category,Geolocation (Latitude),Geolocation (Longitude),Opened Date,Subject,Status,Public Description,SAP URL,Closed Date,Age (Days)
96473,Traffic Signal,32.80886435,-117.2495166,7/29/16,Signals on Flash at FANUEL ST  AND GRAND AV 92109,Closed,PER SDGE - SIGNALS NEED TO BE PUT ON FLASH,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubXwAAI,8/11/16,13
96474,Street Light,32.74879125,-117.0794474,7/29/16,"Light Out at 54TH ST & UNIVERSITY AV,, 92105",Acknowledged,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubYkAAI,,32
96475,Street Light,32.74879125,-117.0794474,7/29/16,"Light Out at 54TH ST & UNIVERSITY AV,, 92105",Closed,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubZTAAY,8/25/16,27
96476,Street Light,32.74879125,-117.0794474,7/29/16,"Light Out at 54TH ST & UNIVERSITY AV,, 92105",Closed,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubZdAAI,8/25/16,27
96477,Street Light,32.74879125,-117.0794474,7/29/16,"Light Out at 54TH ST & UNIVERSITY AV,, 92105",Closed,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubchAAA,8/25/16,27
96478,Street Light,32.80185482,-117.1289519,7/29/16,"Light Out at GRAMERCY DR & RUFFIN RD,, 92123",Assigned,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubeTAAQ,,32
96479,Street Light,32.80185482,-117.1289519,7/29/16,"Light Out at GRAMERCY DR & RUFFIN RD,, 92123",Assigned,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubesAAA,,32
96483,Pothole,33.026185,-117.063745,7/29/16,"Pothole  at 12426 Grandee Road, San Diego, CA, United States",Closed,Deep pothole in center of Street just south of this address.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubwwAAA,8/3/16,5
96484,Storm Drain,32.73347867,-117.0947596,7/29/16,"Storm Drain Object in drain at 4644-4648 Home Ave, San Diego, CA 92105, USA",Closed,There are up to 3 electric mobility carts in the storm drain near the culverts located in the creek bed behind Charles Lewis III Memorial Park on Home Ave. The carts can be seen by entering the park at the Menlo St. entrance and walking south toward the creek bed.  A large amount of other trash is also present.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubzRAAQ,8/2/16,4
96486,Street Light,32.7522341,-117.223435,7/29/16,"Street Light Light Out at 2927 Barnard Street, San Diego, CA, United States",Assigned,Street lights not functioning on the 2800/2900 blocks of Barnard. Bob St. and other local street lights also not functioning.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uc1xAAA,,32
96487,Curb,32.721964,-117.130178,7/29/16,Curb Damage at 1512 30TH ST,Acknowledged,"Broken curb ,caused flat tire , need fixing",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ucC6AAI,,32
96488,Curb,32.722145,-117.130215,7/29/16,Curb Faded Paint at 1500 30TH ST,Closed,"Faded paint ,poeple parking",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ucHVAAY,8/5/16,7
96489,Pothole,32.74851041,-117.1512324,7/29/16,"Pothole at RICHMOND ST & UNIVERSITY AV,, 92103",Closed,"6 inch deep pot hole , car hazard",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ucObAAI,8/30/16,32
96491,Sidewalk,32.9051956,-117.143067,7/29/16,"Sidewalk  at 10294 Saluda Ave, San Diego, CA, United States",Assigned,"Over grown weeds and grass around this MTS STOP 60780 on Gold Coast Dr, across from Mesa Verde Park, near Mason Elementary School.Can you direct me to who is responsible for keeping it maintained?Thank you for your time, have a great day!",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ucPjAAI,,32
96493,Street Light,32.728535,-117.246898,7/29/16,"Street Light Light Out at 1205 Alexandria Drive, San Diego, CA, United States",Duplicate,Urgent need to repair street light that neighborhood heavily relies on for night time safety and neighborhood watch. Increase in car break ins have occurred due to the burned out street lamp. Light pole located at 1205 Alexandria Drive San Diego 92107. Thank you for the work you do.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ucTWAAY,,32
96497,Street Light,32.726356,-117.246432,7/29/16,"Street Light Light Out at 4231 Varona Street, San Diego, CA, United States",Acknowledged,"Several lights are out all around the block including Alexandria St and Savoy St,",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ucaNAAQ,,32
96510,Street Light,32.712928,-117.151653,7/29/16,"Street Light Light Out at 719 14th Street, San Diego, CA, United States",Closed,719 14th and G street. On the corner of G street light out. On the second one is out.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udFkAAI,8/25/16,27
96513,Pothole,32.8142281,-117.2674597,7/29/16,"Pothole  at Forward Street, La Jolla, CA, United States",Assigned,the entire street of Forward in La Jolla is a massive pothole.  There are too many potholes on the street to count.  it looks like a costa rican highway.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udItAAI,,32
96514,Street Light,32.7171752,-117.1589797,7/29/16,"Street Light Light On During Day at 1125 Sixth Ave, San Diego, CA",Closed,street light has been running on for months. it is located right in front of Stout Bar on 6th ave in downtown.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udMRAAY,8/25/16,27
96515,Pothole,32.76079942,-117.1095715,7/29/16,"Pothole at 4546 40TH ST, 92116",Closed,Very large pothole at in front of the alley entrance.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udPGAAY,8/5/16,7
96517,Street Light,32.7156744,-117.1583393,7/29/16,"Street Light Light On During Day at Balanced Fitness and Health, Seventh Avenue, San Diego, CA, United States",Closed,day burner has been running on for months. located on the corner of 7th & C st next to the tree grate. The address given is the closet business to the light post. it is the fist post in the west side of 7th & C st.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udRCAAY,8/25/16,27
96519,Traffic Signal,32.77790115,-117.1404864,7/29/16,"Light Out at QUALCOMM WAY&CAM DEL RIO N, 92108",Assigned,The red light on eastbound Qualcomm way at Camino Del Rio N. was flickering and then went out.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udULAAY,,32
96521,Curb,32.8101825,-117.207575,7/29/16,"Curb Faded Paint at 3707 Balboa Terrace, San Diego, CA, United States",Closed,"I would like for someone to come out and evaluate the curb in front of my building at 3707 Balboa Terrace.  I think if the curb was painted red along this stretch ( see photos attached) then it could eliminate a few issues we are having with near collisions, parking, and appropriate lane passing of autos.  If possible please apply a sense of urgency to this issue due to the public safety concern.Regards,Jason Beaston Pacific Racquet Club HOA VP858-775-9736",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udggAAA,8/26/16,28
96522,Street Light,32.555113,-117.0469695,7/29/16,"Street Light Light Out at 157 Sellsway Street, San Diego, CA, United States",Duplicate,The street light has been out for weeks. 3 request have been done with regards to this light. Previous refer number 00094802. thank you,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udhoAAA,,32
96524,Sidewalk,32.77325654,-117.1682126,7/29/16,"Sidewalk  at Camino Degrazia/ Fashion Hills Blvd, San Diego, CA 92111, USA",Assigned,The sidewalk at the corner of Camino Degrazia and Fashion Hills Blvd is damaged (see photo) and the utility/cable box next to it is cracked and in need of repair. The City obviously began the repairs because a San Diego Storm Water sign has been placed over the area for several months. Both items are extreme hazards and need to be repaired ASAP. Thank you!,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udknAAA,,32
96527,Storm Drain,32.77331968,-117.168159,7/29/16,"Storm Drain Grate frame broken or missing at 6971-6999 Fashion Hills Blvd, San Diego, CA 92108, USA",Acknowledged,The sidewalk at the corner of Camino Degrazia and Fashion Hills Blvd is damaged (see photo) and the utility/cable box next to it is cracked and in need of repair. The City  began the repairs and placed a  San Diego Storm Water sign  over the area. It has been several months and repairs have not been finished and sign remains. for several months. Both items are extreme hazards and need to be repaired ASAP. Thank you!,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udqgAAA,,32
96530,Traffic Sign,32.81654454,-117.0590348,7/29/16,"Traffic Sign  at 8170-8298 Jackson Dr, San Diego, CA 92120, USA",Closed,"45MPH sign, one-way sign in raised median on Jackson Dr., a little S/O Mission Gorge Rd. knocked over.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ueEOAAY,8/4/16,5
96531,Traffic Sign,32.79692361,-117.0936619,7/29/16,"Traffic Sign  at 6781-6799 Mission Gorge Rd, San Diego, CA 92120, USA",Closed,Small reflector panel and post on south raised median nose at Greenbriar Ave. missing.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ueHNAAY,8/3/16,4
96532,Traffic Sign,32.80384964,-117.0849501,7/29/16,"Traffic Sign  at 7347-7355 Mission Gorge Rd, San Diego, CA 92120, USA",Closed,Small reflector panel and post on west raised median nose at Old Cliffs Rd. is missing.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ueJxAAI,8/3/16,4
96534,Traffic Sign,32.80395785,-117.084993,7/29/16,"Traffic Sign  at 7347-7355 Mission Gorge Rd, San Diego, CA 92120, USA",Closed,Small reflector panel and Telespar post on west raised median nose at Katlyn Ct. knocked over.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ueMNAAY,8/3/16,4
96536,Traffic Signal,32.87749811,-117.1826939,7/29/16,Traffic Signal All Lights Out at Miramar Mall&Miramar Rd,Closed,Lights are staying on red only,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ueOnAAI,8/11/16,12
96537,Tree Hazard,32.829028,-117.209834,7/29/16,"Tree Hazard  at 3527 Moccasin Avenue, San Diego, CA, United States",Closed,"3527 Moccasin Ave, SD 92117Front tree (at street) is dropping an oily residue and a slight ashy substance.  Possible disease or insect infestation.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ueQZAAY,8/3/16,4
96538,Traffic Sign,32.80677139,-117.0783841,7/29/16,"Traffic Sign  at 7415 Mission Gorge Rd, San Diego, CA 92120, USA",Closed,"One way sign and post in raised median, just E/O Princess View Dr for traffic exiting shopping strip mall next to Jack-In-The_Box has been hit and is bent/leaning.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ueQyAAI,8/3/16,4
96539,Traffic Sign,32.80286606,-117.0283436,7/29/16,"Traffic Sign  at 7801-7851 Navajo Rd, San Diego, CA 92119, USA",Closed,No U-turn sign and post in raised median at Soaring Dr. turn pocket has been hit and is bent/damaged.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ueUMAAY,8/4/16,5
96540,Storm Drain,32.72319687,-117.1076343,7/29/16,"Drain plugged at 3980 HOME AV, 92105",Closed,5 gallon bucket of paint fell in the drain,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uesTAAQ,7/30/16,0
96541,Pothole,32.72302655,-117.2568202,7/29/16,Pothole  at 875 Sunset Cliffs Blvd,Closed,"When are the street repairs here scheduled to be made? The city painted marks all over the street awhile ago, and everyone is wondering how long we have to have our street marked up. Thanks.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uf3RAAQ,8/16/16,17
96542,Street Light,32.79642015,-117.2561377,7/29/16,"Light Out at 4500 OCEAN BL, 92109",Assigned,Constituent states the light on Crystal Pier are out 3 blocks east of the board walk.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uf3gAAA,,32
96547,Street Light,32.76847691,-117.1074635,7/29/16,"Light Out at 5002 KENSINGTON DR, 92116",Acknowledged,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uf74AAA,,32
96548,Street Light,32.727967,-117.253062,7/29/16,"Street Light Light Out at 1070 Novara St, San Diego, CA 92107, United States",Assigned,"Somebody painted the lamp black so it no longer illuminates the street. The neighbor next door had her car's windshield smashed in while the street was dark. This light has been reported three times, and it's still black -- no light on the street.Please fix.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufFwAAI,,32
96549,Sidewalk,32.80715712,-117.2146252,7/29/16,"Sidewalk  at 2974 Garnet Ave, San Diego, CA 92109, USA",Assigned,The side walk in this area is in horrible condition and needs to be replaced.  The is the area just east of Santa Fe St. on the North side of Garnet/Balboa.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufJjAAI,,32
96550,Pothole,32.94587779,-117.0847407,7/29/16,Pothole  at 11384?11386 Poway Rd,Closed,Multiple potholes!,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufKmAAI,8/30/16,31
96555,Graffiti,32.69556913,-117.1060231,7/29/16,"Graffiti Removal at 4102 NATIONAL AV, 92113",Closed,Request graffiti removed from fence,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufQBAAY,8/4/16,5
96558,Street Light,32.73882553,-117.2231151,7/29/16,"Light Out at 3400 YONGE ST, 92106",Assigned,St light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufSMAAY,,32
96559,Street Light,32.73882553,-117.2231151,7/29/16,"Light Out at 3400 YONGE ST, 92106",Assigned,St light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufSWAAY,,32
96560,Traffic Signal,32.9491981,-117.2474184,7/29/16,Traffic Signal Signal Facing Wrong Direction at Mango Drive&Del Mar Heights rd,Closed,"None of your dropdown options included...the ""smart light"" is giving traffic that is crossing over Del Mar Heights from Mango drive WAAAAY more time than the traffic coming off the freeway trying to go West on Del Mar Heights..That signal is way too short...Congesting the off ramps AS WELL as Del Mar Heights road in general.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufSgAAI,8/2/16,3
96561,Street Light,32.73882553,-117.2231151,7/29/16,"Light Out at 3400 YONGE ST, 92106",Assigned,St light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufSlAAI,,32
96562,Traffic Signal,32.75835659,-117.1973413,7/29/16,Traffic Signal Light Out at MORENA BL&TAYLOR ST,Closed,The left turn signal light from eastbound Taylor St to northbound Morena Blvd is short and causes a long back up on Taylor St. Seems to start about 3:30 pm week days.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufSvAAI,8/12/16,13
96563,Street Light,32.7382251,-117.2236223,7/29/16,"Light Out at 3400 XENOPHON ST, 92106",Assigned,St light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufToAAI,,32
96564,Street Light,32.7382251,-117.2236223,7/29/16,"Light Out at 3400 XENOPHON ST, 92106",Duplicate,St light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufU8AAI,,32
96565,Street Light,32.7382251,-117.2236223,7/29/16,"Light Out at 3400 XENOPHON ST, 92106",Duplicate,St light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufV1AAI,,32
96568,Street Light,32.7427769,-117.166952,7/29/16,"Street Light Light Out at 3571 Curlew Street, San Diego, CA, United States",Assigned,We need street lights on this street as it is dark at night. It's a safety issue.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufXWAAY,,32
96569,Street Light,32.73701313,-117.2246495,7/29/16,"Light Out at 3400 VOLTAIRE ST, 92106",Assigned,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufXgAAI,,32
96570,Street Light,32.73701313,-117.2246495,7/29/16,"Light Out at 3400 VOLTAIRE ST, 92106",Duplicate,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufXvAAI,,32
96571,Street Light,32.73701313,-117.2246495,7/29/16,"Light Out at 3400 VOLTAIRE ST, 92106",Acknowledged,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufYPAAY,,32
96572,Street Light,32.73641821,-117.2251535,7/29/16,"Light Out at 3400 UDALL ST, 92106",Assigned,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufYyAAI,,32
96573,Street Light,32.73641821,-117.2251535,7/29/16,"Light Out at 3400 UDALL ST, 92106",Duplicate,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufZDAAY,,32
96577,Graffiti,32.744808,-117.111836,7/29/16,"Graffiti  at 3601-3699 38th Street San Diego, CA 92105",Closed,Gang grafitti 3' long,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufbnAAA,8/9/16,10
96578,Graffiti,32.744719,-117.111776,7/29/16,"Graffiti  at 3601-3699 38th Street San Diego, CA 92105",Closed,Grafitti,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufbsAAA,8/9/16,10
96579,Sidewalk,32.851747,-117.254771,7/29/16,"Sidewalk  at 7959 Paseo Del Ocaso, CA, United States",Closed,"Broken and cracked sidewalk in front of house, needs replacement.  Would like to apply for the 50/50 cost sharing program",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufdPAAQ,8/19/16,20
96581,Graffiti,32.71722547,-117.1665722,7/29/16,Graffiti  at 32.72N 117.17W,Closed,Elevator 3,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufg9AAA,8/9/16,10
96586,Street Sweeping,32.75530899,-117.0991185,7/29/16,"Street Sweeping  at 4301 Highland Ave, San Diego, CA 92115, USA",Closed,"Two new street sweeping signs vandalized, East and west side of Highland Ave. closest to El Cajon Blvd.  As shown, first two, west side, next two, east side,",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufk1AAA,8/4/16,5
96591,Sidewalk,32.75697556,-117.1387278,7/29/16,Sidewalk  at 4381 Texas St,Closed - Referred,Garage can completely full for over a week.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufoSAAQ,,32
96592,Street Light,32.736236,-117.222918,7/29/16,"Street Light Light Out at 3217 Edith Lane, San Diego, CA, United States",Duplicate,PLEASE help us! Our little street is all dark now that our street light is out.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufowAAA,,32
96594,Graffiti,32.73929654,-117.133569,7/29/16,"Graffiti  at 3303 28th St, San Diego, CA 92104, USA",Closed,"on the northeast corner of Thorn and 28th.  it is on the ground on the sidewalk and the yellow bump area at the corner where the wheelchairs and bikes can roll off the sidewalk, over the bumps, and into the street.  Most of the grafitti is on the yellow bumps, a little on the cement sidewalk.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufqdAAA,8/6/16,7
96596,Storm Drain,32.75525937,-117.1125457,7/29/16,"Storm Drain Grate frame broken or missing at 3762 El Cajon Blvd, San Diego, CA 92105, USA",Closed,"I was driving along El Cajon Blvd. at approximately 3:30PM on Friday, July 29, 2016, when at the intersection of El Cajon and McClintock St., I collided with an open service grate that was not marked by signs or cones. My view had been blocked by the car in front of me, and by the time it swerved and I saw the grate, it was too late to make an evasive action. The grate blew out my left front tire and severely damaged (but did not puncture) my left rear tire. My left front wheel was also damaged heavily. Luckily, I was able to stop at AM Mufflers & Tire just down the road to have a spare put on. The employee also gave me an estimate of the cost of two new tires and a new wheel, which I will be filing a claim for. Attached hereto are images of the damages to my car as well as the open maintenance grate I ran over. I walked along the median in order to take pictures with permission of a passing officer, who encouraged me to take these photos. This is surely a massive safety/damage hazard, and should be dealt with as soon as possible.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufrWAAQ,8/4/16,5
96597,Graffiti,32.798676,-117.2195,7/29/16,"Graffiti  at Rose Creek Trail San Diego, CA 92109",Assigned,Gang? tags on stop sign,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufrbAAA,,32
96598,Sidewalk,32.742328,-117.107175,7/29/16,"Sidewalk  at 3504 41st Street San Diego, CA 92105",Closed,Pavement lifting cracking buckling and collapsing. Trip hazard.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufrgAAA,8/6/16,7
96599,Street Light,32.80299993,-117.0126763,7/29/16,"Street Light Light Out at 8515 Navajo Rd, San Diego, CA 92119, USA",Assigned,This light is behind the Einstein Bagel shop on Navajo Road east bound direction.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufrqAAA,,32
96600,Pothole,32.96239575,-117.1177692,7/29/16,Pothole  at 9801?9825 Paseo Montalban,Closed,Pothole in right turn lane onto paseo montalban in front of 7-11,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufs0AAA,8/16/16,17
96601,Street Light,32.8936116,-117.2016004,7/29/16,"Street Light Light Out at 5405 Morehouse Dr, San Diego, CA 92121, USA",Assigned,Three of the four street lights at this intersection are out.  The intersection is Scranton at Morehouse Dr.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufs5AAA,,32
96602,Graffiti,32.802807,-117.222166,7/29/16,"Graffiti  at 2605 Rose Creek Trail San Diego, CA 92109",Closed,Gang tags on utility box,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufsoAAA,8/6/16,7
